rank_ic,date
0.028779366156499588,2021-09-30
-0.03504364459434965,2021-10-08
-0.04257630458700581,2021-10-12
-0.01586477774560051,2021-10-13
-0.04615478377810952,2021-10-14
-0.07620960157686663,2021-10-15
-0.05355499401345016,2021-10-18
-0.06064877892460994,2021-10-19
-0.14619138685895872,2021-10-20
-0.10993259537256418,2021-10-22
-0.1492675616388552,2021-10-25
-0.10482437113229827,2021-10-26
-0.02599050302416517,2021-10-27
-0.028393038221484444,2021-10-28
0.005199605230144516,2021-11-02
0.010118680697876187,2021-11-03
0.0435687956184628,2021-11-04
0.04554889116030784,2021-11-05
0.02786539955434349,2021-11-08
0.08027659570416308,2021-11-09
0.03193072232119958,2021-11-10
0.05793086934397385,2021-11-11
0.12401888621222519,2021-11-12
0.06597631144917047,2021-11-15
0.008733941631176122,2021-11-16
0.050902391469502754,2021-11-17
0.08732778046316345,2021-11-18
-0.009092995417423736,2021-11-19
0.031875012671441265,2021-11-22
-0.001589067160326478,2021-11-23
-0.025694274150705097,2021-11-24
-0.04813773077452527,2021-11-25
0.050878675851454544,2021-11-26
0.08398634833510861,2021-11-29
0.14755700043340075,2021-11-30
0.1102279742422213,2021-12-01
0.08213353170328176,2021-12-03
0.10264495747234229,2021-12-06
0.06341740737962585,2021-12-07
0.13404696448941866,2021-12-08
0.1663196574749072,2021-12-09
0.19743320500256817,2021-12-10
0.12183120313382602,2021-12-13
0.26132241793446065,2021-12-14
0.2281903554634735,2021-12-15
0.15188139279863017,2021-12-16
0.115501495352457,2021-12-17
0.1183160282376557,2021-12-20
0.13135310516924045,2021-12-21
0.18404444357605737,2021-12-22
0.15419333177595562,2021-12-23
0.12092651981819354,2021-12-24
0.0918699506583793,2021-12-27
0.06105253126895812,2021-12-28
0.03595048139456584,2021-12-29
0.05047987092948339,2021-12-30
0.06364831030344724,2021-12-31
0.11899410553058079,2022-01-04
0.0825839082606599,2022-01-05
0.09951944936469898,2022-01-06
0.04856148741790867,2022-01-07
-0.00014440923462523256,2022-01-10
-0.004230722674017281,2022-01-11
0.05969130910631697,2022-01-12
-0.12385139563633771,2022-01-13
-0.09376710273328774,2022-01-14
-0.05709145625639355,2022-01-17
-0.05332394024004426,2022-01-18
-0.06454729071309319,2022-01-19
-0.10390601308611,2022-01-20
-0.1302860968180349,2022-01-21
-0.14513582242550763,2022-01-24
-0.19260608579424016,2022-01-25
-0.14453813322273687,2022-01-26
0.15060218680334858,2022-01-27
0.12379824727649834,2022-01-28
0.10175000377335017,2022-02-07
0.09379385796954974,2022-02-08
-0.08374183190580839,2022-02-09
0.05378030159288003,2022-02-10
0.17210714224962956,2022-02-11
-0.008425945356036394,2022-02-14
-0.07237134875517519,2022-02-15
-0.032239366830108036,2022-02-16
-0.013598400571053592,2022-02-17
0.08090872877436309,2022-02-18
0.0005861703060019642,2022-02-21
-0.11227398324045106,2022-02-22
-0.02169343007223795,2022-02-23
-0.014538689181216308,2022-02-24
-0.016230341391189174,2022-02-28
0.05925480566534206,2022-03-01
0.0005620125351788605,2022-03-02
-0.08319423077704913,2022-03-03
-0.025882466130084925,2022-03-04
-0.06855637887192624,2022-03-07
-0.13171191302014965,2022-03-08
-0.01890069448886541,2022-03-09
-0.08210538489088108,2022-03-10
-0.10959283454441074,2022-03-11
-0.15034397929599166,2022-03-14
-0.08593935491092038,2022-03-15
-0.033383706894579174,2022-03-16
-0.03231380873690806,2022-03-21
0.00025036361205928577,2022-03-23
0.05341027719126887,2022-03-24
-0.11047516019067662,2022-03-25
0.004403134804118174,2022-03-28
-0.03579620640509701,2022-03-29
-0.0638781398512548,2022-03-30
-0.11705052287192226,2022-03-31
-0.07541954904517069,2022-04-01
0.005679471153985783,2022-04-06
0.0512250260076967,2022-04-07
0.08808734604179001,2022-04-08
0.18479240670629582,2022-04-11
0.03696052779256513,2022-04-12
0.07073525939614678,2022-04-13
0.09302054852819143,2022-04-14
0.13787513585063998,2022-04-15
0.10567089965066709,2022-04-18
0.121912775324274,2022-04-19
0.14934417033705347,2022-04-20
0.09604497238858249,2022-04-21
0.18992215734213427,2022-04-22
0.2266013014057916,2022-04-25
0.31150992644411246,2022-04-26
0.2928141366408495,2022-04-27
0.25042948229772966,2022-04-29
0.2956235044311154,2022-05-05
0.281161162940469,2022-05-06
0.17799213580390946,2022-05-09
0.2554497992060675,2022-05-10
0.14261641044225307,2022-05-11
0.09580096953781707,2022-05-12
0.19322885456262265,2022-05-13
0.09683830338671505,2022-05-16
0.14392153456140605,2022-05-18
0.09906851885865149,2022-05-19
0.07335394374560535,2022-05-20
0.06088764158853217,2022-05-23
0.09214311291948037,2022-05-24
0.08592198555039444,2022-05-25
0.16649838158221297,2022-05-26
0.145546603807136,2022-05-27
0.044938283940463834,2022-05-30
0.0025936681883429115,2022-05-31
-0.003005347621764071,2022-06-01
0.10155396127544064,2022-06-02
0.13423404140782394,2022-06-06
0.04271152737467764,2022-06-07
-0.004872537260222568,2022-06-08
-0.004444149921135226,2022-06-09
0.02041841216004504,2022-06-10
0.11432404529652476,2022-06-13
0.07128330176114527,2022-06-14
-0.015250844247506728,2022-06-15
-0.024747976514180946,2022-06-16
-0.040493351677632204,2022-06-17
-0.07372733854319333,2022-06-20
-0.08084704618906605,2022-06-21
0.02242765389931176,2022-06-22
0.011902902488108973,2022-06-23
0.06570420023827897,2022-06-24
0.042056690770825335,2022-06-27
0.010380294189463504,2022-06-28
0.021482259856947575,2022-06-29
0.08755376649723236,2022-06-30
0.03162594304453367,2022-07-01
-0.021187470891731862,2022-07-04
-0.04257482358432912,2022-07-05
-0.015837509700314258,2022-07-06
-0.0036784456607923547,2022-07-07
0.04945127376349792,2022-07-08
0.08555091885467739,2022-07-11
0.06522647955475912,2022-07-12
0.064712744534297,2022-07-13
0.09908969227926173,2022-07-14
0.13281355511539458,2022-07-15
0.08428512025791193,2022-07-18
0.011667698563963639,2022-07-19
-0.026541975145192635,2022-07-20
-0.012662607671855336,2022-07-21
0.023335397127927277,2022-07-22
-0.001010384547232237,2022-07-25
0.04298372899380538,2022-07-26
-0.024999206824066495,2022-07-27
-0.06975069433493591,2022-07-28
0.04939532096059854,2022-07-29
0.061011416951847086,2022-08-01
-0.13143709713814047,2022-08-02
-0.20136294923549145,2022-08-03
-0.23888035613323677,2022-08-04
-0.17493501183602508,2022-08-05
-0.2105722777806097,2022-08-08
-0.19253809933728544,2022-08-09
-0.1674626615506189,2022-08-10
-0.12490877006278672,2022-08-11
-0.08834454550099877,2022-08-12
-0.09104325582221437,2022-08-15
-0.02957081543262718,2022-08-16
-0.1472742260074047,2022-08-17
-0.10225772629514822,2022-08-18
-0.09140679103438572,2022-08-19
-0.058745930642623574,2022-08-22
-0.11523493620619962,2022-08-23
-0.0756426883534547,2022-08-24
-0.11276237639019501,2022-08-25
-0.05559388241464323,2022-08-26
-0.05177883879428864,2022-08-29
-0.030244201587791522,2022-08-30
0.0522517611245244,2022-08-31
0.02657087617774804,2022-09-01
0.003764713437396722,2022-09-02
-0.023587950960861054,2022-09-05
-0.03608381654115209,2022-09-06
0.003607517239990301,2022-09-07
0.028437810036925942,2022-09-08
0.035965853695660875,2022-09-09
0.003179765110057298,2022-09-13
0.05343041718138904,2022-09-14
0.008999297102930834,2022-09-15
-0.06002038795596878,2022-09-16
0.004402636939994968,2022-09-19
0.02578058363986058,2022-09-20
0.055091998720279645,2022-09-21
0.10501577608852287,2022-09-22
0.10252837253440626,2022-09-23
0.09227110268838935,2022-09-26
0.08007683177731593,2022-09-27
0.06917148860142396,2022-09-28
0.12533318885675743,2022-09-29
0.08150236392499598,2022-09-30
0.0832983691429081,2022-10-10
0.1159599446453863,2022-10-11
0.09179904844138942,2022-10-12
0.04069314641619194,2022-10-13
0.08385924590379355,2022-10-14
0.05342603577432579,2022-10-17
0.08127648385099126,2022-10-18
0.13346956851072744,2022-10-19
0.07925585512967437,2022-10-20
0.11731500753263047,2022-10-21
0.23610429967894045,2022-10-24
0.12587548299624268,2022-10-25
0.20217638238443006,2022-10-26
0.16468341293092822,2022-10-27
0.2117672395427827,2022-10-28
0.12306136107311594,2022-10-31
0.17954826044599737,2022-11-01
0.21659373492363507,2022-11-02
0.18535737054254142,2022-11-03
0.1569733278967329,2022-11-04
0.18634236725864725,2022-11-07
0.1692718786348352,2022-11-08
0.16641739700051728,2022-11-09
0.12589935662421817,2022-11-10
0.16106138825413743,2022-11-11
0.0985730921146152,2022-11-14
0.10664599125470679,2022-11-15
0.06363292297642703,2022-11-16
0.0038574102565263452,2022-11-17
0.03439036349057142,2022-11-18
-0.009549640704919614,2022-11-21
-0.05331062654119359,2022-11-22
-0.11337829122920058,2022-11-23
-0.1614970165993359,2022-11-24
-0.1862319811786131,2022-11-25
-0.15728550920151044,2022-11-28
-0.12227123538808339,2022-11-29
