date,symbol,name,industry,close,pred_score,target_weight
2026-09-03,600026.SH,中远海能,半导体,20.33,0.5942823165474362,0.1295665358963595
2026-09-03,300122.SZ,智飞生物,半导体,13.73,0.582073267074507,0.06985086957650581
2026-09-03,601872.SH,招商轮船,半导体,19.3,0.5780648035820946,0.051839820137248346
2026-09-03,600522.SH,中天科技,半导体,32.91,0.5762220169934094,0.058537984774157094
2026-09-03,300413.SZ,芒果超媒,半导体,20.15,0.5749658112034844,0.08671706197909562
2026-09-03,002241.SZ,歌尔股份,半导体,23.78,0.5720090598225386,0.06972603240045172
2026-09-03,600938.SH,中国海油,半导体,33.43,0.5718355116459872,0.07244118630224489
2026-09-03,600489.SH,中金黄金,半导体,25.69,0.5717850648840586,0.1295665358963595
2026-09-03,300999.SZ,金龙鱼,半导体,26.01,0.5663354704031818,0.09454979281429904
2026-09-03,300433.SZ,蓝思科技,半导体,35.87,0.5655195269374397,0.08720418022327844
