factor_name,raw_rank_ic,neutralized_rank_ic,delta_rank_ic,total_dates,successful_dates,failed_dates,mean_cross_section_size,min_cross_section_size,max_cross_section_size,status
KMID,-0.0048,-0.0049,-0.0001,1187,1166,21,294.2,279,300,REAL_CALCULATED
KLEN,-0.0109,-0.0111,-0.0002,1187,1166,21,294.2,279,300,REAL_CALCULATED
KMID2,-0.0014,-0.0017,-0.0003,1187,1166,21,294.2,279,300,REAL_CALCULATED
KUP,-0.0052,-0.0054,-0.0001,1187,1166,21,294.2,279,300,REAL_CALCULATED
KLOW,-0.0093,-0.0093,-0.0,1187,1166,21,294.2,279,300,REAL_CALCULATED
KSFT,-0.0058,-0.0058,0.0001,1187,1166,21,294.2,279,300,REAL_CALCULATED
ROC5,-0.0068,-0.0071,-0.0003,1187,1161,26,294.2,278,300,REAL_CALCULATED
MAX_RATIO_5,-0.0046,-0.0038,0.0008,1187,1162,25,294.2,278,300,REAL_CALCULATED
MIN_RATIO_5,0.0074,0.0076,0.0002,1187,1162,25,294.2,278,300,REAL_CALCULATED
MA_RATIO_5,0.0046,0.005,0.0004,1187,1162,25,294.2,278,300,REAL_CALCULATED
