factor_name,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,positive_rank_ic_ratio,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,recommended_direction
KLEN,-0.0109,0.0772,-0.1407,-0.4993,0.4477,-4.8032,-1.64,2e-06,0.101267,0.136847,-1
KLOW,-0.0093,0.0608,-0.153,-0.5432,0.434,-5.2258,-2.7385,0.0,0.006267,0.013056,-1
MIN_RATIO_5,0.0074,0.0746,0.0995,0.3533,0.5448,3.393,1.6651,0.000715,0.096168,0.133567,1
ROC5,-0.0068,0.081,-0.0834,-0.296,0.4737,-2.8413,-1.3255,0.004571,0.185259,0.225926,-1
KSFT,-0.0058,0.0691,-0.0845,-0.2998,0.4657,-2.8844,-2.566,0.003994,0.010412,0.018593,-1
KUP,-0.0052,0.0638,-0.0818,-0.2903,0.476,-2.7926,-1.2493,0.005314,0.21182,0.252167,-1
KMID,-0.0048,0.0713,-0.0667,-0.2369,0.4734,-2.2788,-1.9593,0.022859,0.05032,0.078625,-1
MA_RATIO_5,0.0046,0.0773,0.0596,0.2115,0.5258,2.0308,1.0735,0.042507,0.283286,0.321916,1
MAX_RATIO_5,-0.0046,0.0785,-0.0583,-0.2071,0.4587,-1.9888,-1.0194,0.046958,0.308238,0.337359,-1
KMID2,-0.0014,0.0696,-0.02,-0.0709,0.5077,-0.6816,-0.5862,0.495601,0.557872,0.581117,-1
