factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
KMID,1D,-0.0148,-6.4676,0.0,0.0
KMID,3D,-0.0111,-4.6172,4e-06,2.9e-05
KMID,5D,-0.0085,-3.6165,0.000311,0.001037
KMID,10D,-0.0071,-3.0704,0.002187,0.005468
KMID,20D,-0.0048,-1.9593,0.05032,0.078625
KLEN,1D,-0.0091,-4.0603,5.2e-05,0.000236
KLEN,3D,-0.0132,-4.5802,5e-06,3.1e-05
KLEN,5D,-0.0101,-2.8716,0.004157,0.009448
KLEN,10D,-0.0069,-1.3866,0.165827,0.207284
KLEN,20D,-0.0109,-1.64,0.101267,0.136847
KMID2,1D,-0.0108,-4.9278,1e-06,1e-05
KMID2,3D,-0.0075,-3.159,0.001623,0.004271
KMID2,5D,-0.0046,-1.9653,0.049612,0.078625
KMID2,10D,-0.0035,-1.5944,0.111122,0.146213
KMID2,20D,-0.0014,-0.5862,0.557872,0.581117
KUP,1D,-0.005,-2.577,0.010086,0.018593
KUP,3D,-0.0076,-3.4972,0.000488,0.001525
KUP,5D,-0.0046,-1.8668,0.062177,0.094208
KUP,10D,-0.0015,-0.4743,0.635357,0.648323
KUP,20D,-0.0052,-1.2493,0.21182,0.252167
KLOW,1D,-0.0083,-4.3748,1.3e-05,7.2e-05
KLOW,3D,-0.0082,-3.8448,0.000127,0.000504
KLOW,5D,-0.0069,-2.891,0.003911,0.009312
KLOW,10D,-0.0065,-2.2005,0.027962,0.04821
KLOW,20D,-0.0093,-2.7385,0.006267,0.013056
KSFT,1D,-0.0147,-6.5978,0.0,0.0
KSFT,3D,-0.009,-3.8375,0.000131,0.000504
KSFT,5D,-0.0073,-3.1812,0.001505,0.004181
KSFT,10D,-0.0076,-3.363,0.000796,0.002341
KSFT,20D,-0.0058,-2.566,0.010412,0.018593
ROC5,1D,-0.0116,-4.7542,2e-06,1.7e-05
ROC5,3D,-0.0089,-2.756,0.005941,0.012915
ROC5,5D,-0.0067,-1.7096,0.087608,0.125154
ROC5,10D,-0.0053,-1.1262,0.260295,0.302669
ROC5,20D,-0.0068,-1.3255,0.185259,0.225926
MAX_RATIO_5,1D,0.0065,2.5954,0.009566,0.018396
MAX_RATIO_5,3D,0.0,0.0094,0.992496,0.992496
MAX_RATIO_5,5D,-0.0036,-1.0149,0.31037,0.337359
MAX_RATIO_5,10D,-0.0027,-0.654,0.513238,0.545998
MAX_RATIO_5,20D,-0.0046,-1.0194,0.308238,0.337359
MIN_RATIO_5,1D,0.0138,5.9746,0.0,0.0
MIN_RATIO_5,3D,0.0119,4.2466,2.3e-05,0.000115
MIN_RATIO_5,5D,0.0084,2.6034,0.009347,0.018396
MIN_RATIO_5,10D,0.0068,1.8464,0.065087,0.095716
MIN_RATIO_5,20D,0.0074,1.6651,0.096168,0.133567
MA_RATIO_5,1D,0.0139,5.6978,0.0,0.0
MA_RATIO_5,3D,0.0112,3.6302,0.000295,0.001037
MA_RATIO_5,5D,0.0074,2.1672,0.030419,0.050698
MA_RATIO_5,10D,0.0058,1.452,0.146766,0.188162
MA_RATIO_5,20D,0.0046,1.0735,0.283286,0.321916
