factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
KLEN,0.0134,0.0922,0.1453,0.5157,0.5746,4.9605,1.5824,1e-06,0.113823,0.136847
KLOW,0.0036,0.0676,0.0526,0.1866,0.5223,1.7953,0.8438,0.072861,0.398968,0.013056
MIN_RATIO_5,-0.0031,0.0798,-0.0391,-0.1387,0.4785,-1.3319,-0.6264,0.183163,0.531159,0.133567
ROC5,-0.0012,0.0916,-0.0135,-0.048,0.4918,-0.4609,-0.2231,0.644939,0.823506,0.225926
KSFT,-0.0085,0.0776,-0.1095,-0.3888,0.4477,-3.7404,-3.5885,0.000193,0.000346,0.018593
KUP,0.0101,0.0722,0.1404,0.4985,0.5583,4.7956,1.8732,2e-06,0.061289,0.252167
KMID,-0.0048,0.0792,-0.06,-0.2128,0.4674,-2.0473,-1.8455,0.040857,0.065214,0.078625
MA_RATIO_5,0.0025,0.0874,0.0281,0.0997,0.5095,0.9575,0.5384,0.338522,0.590389,0.321916
MAX_RATIO_5,0.0056,0.0813,0.0685,0.2431,0.5164,2.3345,1.2074,0.019738,0.227514,0.337359
KMID2,-0.001,0.0667,-0.015,-0.0533,0.5043,-0.513,-0.4609,0.608049,0.644945,0.581117
