factor_name,raw_rank_ic,orthogonalized_rank_ic,delta_rank_ic,successful_cross_sections,failed_cross_sections,status
KMID,-0.0048,-0.0048,-0.0,1182,5,REAL_CALCULATED
KLEN,-0.0109,-0.0112,-0.0004,1182,5,REAL_CALCULATED
KMID2,-0.0014,0.0052,0.0066,1182,5,REAL_CALCULATED
KUP,-0.0052,-0.0003,0.0049,1182,5,REAL_CALCULATED
KLOW,-0.0093,-0.0061,0.0032,1182,5,REAL_CALCULATED
KSFT,-0.0058,-0.001,0.0049,1182,5,REAL_CALCULATED
ROC5,-0.0068,-0.0033,0.0035,1182,5,REAL_CALCULATED
MAX_RATIO_5,-0.0046,-0.0071,-0.0025,1182,5,REAL_CALCULATED
MIN_RATIO_5,0.0074,0.0043,-0.0031,1182,5,REAL_CALCULATED
MA_RATIO_5,0.0046,0.0025,-0.0021,1182,5,REAL_CALCULATED
