factor_name,long_turnover,long_gross_return,long_sharpe,5bps,10bps,20bps,30bps
KMID,0.7577,0.002956,1.5594,0.666701,0.377381,-0.059717,-0.358478
KLEN,0.5344,0.00152,0.7117,0.241433,0.085091,-0.171185,-0.367116
KMID2,0.7789,0.002547,1.2858,0.505395,0.237356,-0.164428,-0.436094
KUP,0.6995,0.001792,0.6873,0.269418,0.06436,-0.25201,-0.474602
KLOW,0.7232,0.002363,1.1735,0.456004,0.213634,-0.157118,-0.414919
KSFT,0.754,0.003151,1.7022,0.749661,0.447362,-0.009995,-0.323219
ROC5,0.3415,0.002887,1.9939,0.815409,0.666009,0.402959,0.181304
MAX_RATIO_5,0.4648,0.001853,1.0352,0.364186,0.213514,-0.039901,-0.240562
MIN_RATIO_5,0.4503,0.002648,1.7536,0.671378,0.492367,0.189628,-0.051892
MA_RATIO_5,0.4248,0.003053,2.0167,0.852453,0.664754,0.344302,0.085337
