factor_name,best_horizon,half_life_days,1D,3D,5D,10D,20D
KMID,1D,12.9,-0.0148,-0.0111,-0.0085,-0.0071,-0.0048
KLEN,3D,,-0.0091,-0.0132,-0.0101,-0.0069,-0.0109
KMID2,1D,6.9,-0.0108,-0.0075,-0.0046,-0.0035,-0.0014
KUP,3D,,-0.005,-0.0076,-0.0046,-0.0015,-0.0052
KLOW,20D,,-0.0083,-0.0082,-0.0069,-0.0065,-0.0093
KSFT,1D,18.9,-0.0147,-0.009,-0.0073,-0.0076,-0.0058
ROC5,1D,29.5,-0.0116,-0.0089,-0.0067,-0.0053,-0.0068
MAX_RATIO_5,1D,,0.0065,0.0,-0.0036,-0.0027,-0.0046
MIN_RATIO_5,1D,22.7,0.0138,0.0119,0.0084,0.0068,0.0074
MA_RATIO_5,1D,12.7,0.0139,0.0112,0.0074,0.0058,0.0046
