factor_name,monotonicity_score,Q1,Q2,Q3,Q4,Q5
KMID,-0.3,0.01328,0.009172,0.007881,0.00909,0.011969
KLEN,0.6,0.009923,0.0085,0.007608,0.010607,0.014715
KMID2,-0.1,0.011346,0.009736,0.008282,0.010958,0.011058
KUP,0.3,0.010616,0.008968,0.007589,0.009694,0.014493
KLOW,0.3,0.011814,0.009791,0.007337,0.009996,0.012454
KSFT,-0.3,0.013641,0.010163,0.007255,0.009467,0.010875
ROC5,-0.3,0.012377,0.00971,0.007687,0.009426,0.012164
MAX_RATIO_5,0.1,0.011341,0.010042,0.007543,0.009699,0.012775
MIN_RATIO_5,-0.3,0.012775,0.010944,0.006781,0.008987,0.011973
MA_RATIO_5,0.1,0.012059,0.009685,0.007438,0.009319,0.012919
