factor_name,overall_rank_ic,sign_consistency,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
KMID,-0.0048,0.8333,VALID,-0.0024,-0.0139,-0.0011,-0.0197,-0.0041,0.0011,-0.0031,-0.0071,-0.0082
KLEN,-0.0109,0.8333,VALID,-0.0032,-0.0014,-0.019,-0.0383,0.004,-0.0261,-0.0089,-0.0063,-0.0091
KMID2,-0.0014,0.8333,VALID,0.0008,-0.0115,0.0028,-0.0144,-0.0011,0.0034,-0.0001,-0.0035,-0.0029
KUP,-0.0052,0.8333,VALID,-0.0027,-0.0017,-0.0081,-0.0245,-0.0039,-0.0099,-0.0016,0.0003,-0.0066
KLOW,-0.0093,0.8333,VALID,-0.0014,-0.0088,-0.013,-0.0261,-0.0076,-0.0167,-0.0063,-0.009,0.0029
KSFT,-0.0058,0.8333,VALID,-0.0031,-0.0177,-0.001,-0.0113,-0.0065,0.0004,-0.0056,-0.0106,-0.0052
ROC5,-0.0068,0.8,VALID,0.0037,-0.0243,-0.0024,-0.0347,-0.009,0.0064,-0.0074,-0.009,-0.0091
MAX_RATIO_5,-0.0046,0.6,VALID,-0.0059,0.0159,-0.0144,0.0084,0.0054,-0.0203,-0.0059,0.0005,-0.0065
MIN_RATIO_5,0.0074,0.8,VALID,-0.0003,0.0114,0.0088,0.04,-0.0073,0.0075,0.0072,0.0099,0.0154
MA_RATIO_5,0.0046,0.8,VALID,0.0004,0.0183,-0.0005,0.0268,0.0055,-0.0076,0.0041,0.0111,0.0045
