,lightgbm_clf_baseline,lightgbm_reg_baseline,lightgbm_ranker
2023-07-03,0.2767657314872812,0.20154557737973514,0.2113066565844051
2023-07-04,0.3074551029756842,0.24269104921620865,0.2576804649414936
2023-07-05,0.3162724561184899,0.20318755477366737,0.25708866441925954
2023-07-06,0.3447511849448896,0.23475907733203685,0.28551065003829773
2023-07-07,0.24525507866912227,0.16375289653153136,0.21505701790807105
2023-07-10,0.17711938661442486,0.08202190921403912,0.16080919831465193
2023-07-11,0.24415617014548702,0.1533346896022463,0.22679652667123068
2023-07-12,0.2337080868057556,0.13175853079673458,0.22663519102222485
2023-07-13,0.2843561898010843,0.23088294629273137,0.28327945102446056
2023-07-14,0.31505669684154275,0.2643683507157666,0.29670876990587486
2023-07-17,0.2866243467315093,0.21721443993715825,0.2784805689129312
2023-07-18,0.295078656861307,0.170448972330948,0.26054855553001943
2023-07-19,0.3389706281906241,0.22442732882459013,0.2809369387341843
2023-07-20,0.24002162350654474,0.148149868346835,0.19461874491098485
2023-07-21,0.2780960808118505,0.11728103350017674,0.18003980262044889
2023-07-24,0.2717658884903495,0.11200647326127056,0.17634901929839378
2023-07-25,0.1622601274832723,0.010232150093288647,0.08760127899133607
2023-07-26,0.23279825385358424,-0.03485955219591278,0.08388308044573342
2023-07-27,0.09859656433639567,-0.05755350212486521,0.032615817754018096
2023-07-28,0.16497192650209136,0.04049154806582208,0.0828151262614382
2023-07-31,0.09071588125069578,0.003569545470557092,0.025315470521676587
2023-08-01,0.01376569730984727,-0.038717331898337384,-0.02336974743390842
2023-08-02,-0.010542972428759926,-0.03565296584630236,-0.03398448428464578
2023-08-03,0.003142558352407581,-0.07715997688066858,0.011631521477690003
2023-08-04,0.08972908580790001,-0.03568141261352361,0.06572779170584508
2023-08-07,0.08813843902253014,-0.018809530915388534,0.0691066183278619
2023-08-08,0.11515043829300058,0.007881915562364958,0.05310458886749946
2023-08-09,0.08658668373767074,0.015686031532642482,0.03621345079203933
2023-08-10,0.08702486234595928,0.009449965324447307,0.0293904526319653
2023-08-11,0.08764260365077897,-0.0066113271421015165,0.02446994359299956
2023-08-14,0.04278310057926548,0.03901532755513536,0.03742419084422614
2023-08-15,0.07122716760217516,0.10646830055655762,0.09215931178461025
2023-08-16,0.08612607343526578,0.12504758041431982,0.09502774523959029
2023-08-17,0.13719375814879972,0.14068335245350425,0.1429057938661183
2023-08-18,0.11645153237633606,0.13611021253635713,0.15328653590391036
2023-08-21,0.09434959933156634,0.13486776828200706,0.14679669988314298
2023-08-22,0.11859594571458978,0.1701469363088215,0.1428483843423654
2023-08-23,0.0812485829434982,0.14095426808215958,0.10056225624468566
2023-08-24,0.1555093742680002,0.14390909723801545,0.12929909508160917
2023-08-25,0.09865582068971898,0.11906220733417924,0.0918164212959309
2023-08-28,0.12721977614435148,0.11367169289735901,0.09628120330219354
2023-08-29,0.136007047129385,0.048600954695090175,0.0913854544624107
2023-08-30,0.11155375997363211,0.017842232740776186,0.08706859873785928
2023-08-31,0.09593056715069713,0.06044244922272656,0.08861619172873873
2023-09-01,0.11967259822215988,0.006355603549267664,0.059287105975826676
2023-09-04,0.14100287171004963,0.07476761354901616,0.117451712475992
2023-09-05,0.01824456213310256,-0.019895382318227725,-0.008641636413908338
2023-09-06,0.023747558902714478,-0.017242795373947233,0.007689817053935772
2023-09-07,0.04587955734152272,0.04445114352451374,0.02009467326664196
2023-09-08,0.021712320772655964,-0.007213929053358398,0.026065285485475112
2023-09-11,0.04846646688286134,0.0478004420990814,0.03555505068493602
2023-09-12,0.036825907278182135,0.04787645931033064,0.02199087114638625
2023-09-13,-0.03417965790266141,0.03249844036685213,-0.08386736156853082
2023-09-14,-0.030046813779161644,0.035358764257303374,-0.06388324283255507
2023-09-15,-0.010338386308522095,0.022398130635845975,-0.04365459450205212
2023-09-18,-0.013205353213933317,0.06463845690783478,-0.03902053505977518
2023-09-19,0.010448744458294319,0.061757171823069126,-0.020689258675770518
2023-09-20,0.019253704650979836,0.0779727149635695,0.00022719180517771193
2023-09-21,0.0430021900184622,0.06745014006909222,0.02769842261367685
2023-09-22,0.08045136682971975,0.1468570839606419,0.06801501038789173
2023-09-25,0.03473606584400433,0.14572669237989383,0.030508246749243288
2023-09-26,0.05473796820147459,0.13177701296452368,0.03967388035184644
2023-09-27,0.08694553734576986,0.1310679656577624,0.0664977766672682
2023-09-28,0.06485518541761648,0.10190633204487498,0.04871854075271822
2023-10-09,0.051254474048002284,0.17002865706859527,0.02915699217689266
2023-10-10,0.026077266679394483,0.1412889096288117,0.010445468017453309
2023-10-11,0.022809056288496155,0.1861406206879608,0.010545787925824234
2023-10-12,-0.0052486170763163635,0.09889210138431782,-0.0516479192651763
2023-10-13,-0.054421908928243015,0.06117784529267746,-0.07688669684480778
2023-10-16,-0.006242595978167201,0.10560577112923294,-0.05927589172008479
2023-10-17,0.021005001152582862,0.15712354029252126,-0.07623029636908502
2023-10-18,0.0632078443650241,0.19668515120742058,0.016524994302950215
2023-10-19,0.061510460141413814,0.18524595852222087,0.03035796940556643
2023-10-20,0.030467485698400968,0.15497258140432046,-0.0018349653424700374
2023-10-23,0.13954044961979636,0.3084619296592196,0.125405550249807
2023-10-24,0.1197915211389828,0.24156962852831215,0.09866971853017945
2023-10-25,0.09086925050366089,0.20105229358142793,0.09080603886456581
2023-10-26,0.05497774542896681,0.21253892756697162,0.044685945943410715
2023-10-27,0.029456367805297638,0.20370713487881872,0.011342584057083894
2023-10-30,0.11467118674812092,0.18193127981097668,0.09400949501098776
2023-10-31,0.17232027474198247,0.16019023887272987,0.15755991023962357
2023-11-01,0.15643997830653217,0.20813274153409433,0.11711619997538646
2023-11-02,0.13684183525189034,0.17559611148645418,0.08853762707726909
2023-11-03,0.12688201718052056,0.15387323072559517,0.09247250384625623
2023-11-06,0.18569492799438056,0.14702160984188073,0.19358540087811135
2023-11-07,0.17977744250694588,0.13454792622338216,0.1741167983097872
2023-11-08,0.173424687715648,0.18031650705099186,0.17602168797024342
2023-11-09,0.16985310528477066,0.18790127884685523,0.18475212442774347
2023-11-10,0.18972931017639516,0.18079386225550206,0.18032033348194446
2023-11-13,0.15726342728034076,0.1488668785936518,0.13687370141412175
2023-11-14,0.17254596590297583,0.11346950526911853,0.14249331640671217
2023-11-15,0.2175171252711351,0.15056767285233622,0.17419248673454138
2023-11-16,0.17074572828869788,0.15769323766735696,0.15893168824534487
2023-11-17,0.17498232477556677,0.09933536077838934,0.14513259540714565
