factor_name,raw_rank_ic,orthogonalized_rank_ic,delta_rank_ic,successful_cross_sections,failed_cross_sections,status
CORR_PV_10,-0.0128,-0.0118,0.001,1149,38,REAL_CALCULATED
WVMA_10,-0.016,-0.0153,0.0007,1149,38,REAL_CALCULATED
CORR_PV_20,-0.0134,-0.0066,0.0068,1149,38,REAL_CALCULATED
WVMA_20,-0.0149,-0.0044,0.0105,1149,38,REAL_CALCULATED
TURNOVER_SURGE_5,0.0006,-0.0003,-0.0009,1149,38,REAL_CALCULATED
TURNOVER_SURGE_20,0.0022,0.0088,0.0065,1149,38,REAL_CALCULATED
TURNOVER_STD_20,-0.0181,-0.0067,0.0115,1149,38,REAL_CALCULATED
AMOUNT_RATIO_5_20,0.001,0.0045,0.0035,1149,38,REAL_CALCULATED
LIMIT_UP_SPACE,0.0029,0.0029,-0.0,1149,38,REAL_CALCULATED
IS_LIMIT_UP_LAG1,0.0006,0.0006,-0.0,1149,38,REAL_CALCULATED
