factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
CORR_PV_10,1D,-0.0078,-4.3106,1.8e-05,0.00015
CORR_PV_10,3D,-0.0112,-4.3477,1.5e-05,0.00015
CORR_PV_10,5D,-0.0103,-3.327,0.000905,0.003481
CORR_PV_10,10D,-0.0111,-2.6561,0.008012,0.022256
CORR_PV_10,20D,-0.0128,-2.3549,0.018691,0.046727
WVMA_10,1D,-0.0124,-5.3835,0.0,0.0
WVMA_10,3D,-0.016,-4.8559,1e-06,1.2e-05
WVMA_10,5D,-0.0139,-3.4057,0.000683,0.002846
WVMA_10,10D,-0.0114,-2.0413,0.041447,0.076754
WVMA_10,20D,-0.016,-2.2068,0.027527,0.062561
CORR_PV_20,1D,-0.0061,-3.2692,0.00111,0.003964
CORR_PV_20,3D,-0.0089,-3.4356,0.000612,0.002782
CORR_PV_20,5D,-0.0085,-2.5478,0.010967,0.028861
CORR_PV_20,10D,-0.0087,-1.7786,0.07557,0.130293
CORR_PV_20,20D,-0.0134,-2.1349,0.03298,0.06596
WVMA_20,1D,-0.0122,-4.9713,1e-06,1.2e-05
WVMA_20,3D,-0.017,-4.8518,1e-06,1.2e-05
WVMA_20,5D,-0.0154,-3.4939,0.000494,0.002744
WVMA_20,10D,-0.0126,-2.1391,0.032636,0.06596
WVMA_20,20D,-0.0149,-1.8521,0.064273,0.114773
TURNOVER_SURGE_5,1D,0.0031,1.6846,0.092338,0.153897
TURNOVER_SURGE_5,3D,0.0009,0.4192,0.675178,0.823388
TURNOVER_SURGE_5,5D,-0.0005,-0.2641,0.791713,0.899674
TURNOVER_SURGE_5,10D,0.0001,0.0502,0.959951,0.979879
TURNOVER_SURGE_5,20D,0.0006,0.3566,0.721458,0.858879
TURNOVER_SURGE_20,1D,-0.0001,-0.0498,0.960281,0.979879
TURNOVER_SURGE_20,3D,-0.0001,-0.0627,0.950012,0.979879
TURNOVER_SURGE_20,5D,0.0001,0.0607,0.951616,0.979879
TURNOVER_SURGE_20,10D,0.0033,1.0308,0.302833,0.445343
TURNOVER_SURGE_20,20D,0.0022,0.6608,0.508841,0.669528
TURNOVER_STD_20,1D,-0.0095,-4.0658,5.1e-05,0.000364
TURNOVER_STD_20,3D,-0.0119,-3.4587,0.000562,0.002782
TURNOVER_STD_20,5D,-0.0119,-2.7576,0.005915,0.018484
TURNOVER_STD_20,10D,-0.0125,-2.1058,0.035434,0.068142
TURNOVER_STD_20,20D,-0.0181,-2.1447,0.032189,0.06596
AMOUNT_RATIO_5_20,1D,-0.0043,-2.3201,0.020507,0.048826
AMOUNT_RATIO_5_20,3D,-0.0013,-0.4876,0.625912,0.78239
AMOUNT_RATIO_5_20,5D,0.0,0.0046,0.996301,0.996301
AMOUNT_RATIO_5_20,10D,0.0032,0.7306,0.465189,0.646096
AMOUNT_RATIO_5_20,20D,0.001,0.226,0.821244,0.912493
LIMIT_UP_SPACE,1D,0.0074,3.9634,7.8e-05,0.000487
LIMIT_UP_SPACE,3D,0.0025,1.0551,0.291576,0.441782
LIMIT_UP_SPACE,5D,0.0019,0.7009,0.483523,0.653409
LIMIT_UP_SPACE,10D,0.0011,0.3068,0.759078,0.882649
LIMIT_UP_SPACE,20D,0.0029,0.5798,0.562195,0.720763
IS_LIMIT_UP_LAG1,1D,0.0017,2.7307,0.006414,0.018865
IS_LIMIT_UP_LAG1,3D,0.002,2.8868,0.003963,0.01321
IS_LIMIT_UP_LAG1,5D,0.001,1.6666,0.095866,0.154623
IS_LIMIT_UP_LAG1,10D,0.0007,1.0981,0.272382,0.425597
IS_LIMIT_UP_LAG1,20D,0.0006,0.8727,0.383003,0.547147
