factor_name,monotonicity_score,Q1,Q2,Q3,Q4,Q5
CORR_PV_10,-0.1,0.010703,0.010988,0.007874,0.011069,0.010657
WVMA_10,0.1,0.010284,0.009865,0.007249,0.009305,0.014355
CORR_PV_20,0.1,0.011368,0.010645,0.007586,0.009127,0.012344
WVMA_20,0.3,0.010321,0.00868,0.006547,0.010043,0.015405
TURNOVER_SURGE_5,0.1,0.011205,0.01038,0.008197,0.009707,0.011919
TURNOVER_SURGE_20,0.1,0.01135,0.010232,0.007849,0.009334,0.012291
TURNOVER_STD_20,0.1,0.012416,0.007918,0.007174,0.007197,0.01631
AMOUNT_RATIO_5_20,0.1,0.011555,0.010094,0.008045,0.009369,0.01199
LIMIT_UP_SPACE,0.1,0.010776,0.00886,0.006395,0.008323,0.016991
IS_LIMIT_UP_LAG1,0.1,0.019714,0.018136,0.012971,0.016337,0.026676
