factor_name,abs_rank_ic,rank_ic,rank_ic_ir,monotonicity,sign_stability,net_sharpe,turnover,missing_ratio,coverage_ratio,is_redundant,recommended_direction,selection_score
CORR_PV_10,0.0128,-0.0128,0.7068,0.1,1.0,2.3645,0.2552,0.0,1.0,0.0,-1,0.6712
WVMA_20,0.0149,-0.0149,0.6573,0.3,0.8,1.414,0.1041,0.0326,0.9674,1.0,-1,0.6699
TURNOVER_STD_20,0.0181,-0.0181,0.7792,0.1,1.0,1.0638,0.0595,0.0163,0.9837,0.0,-1,0.6452
CORR_PV_20,0.0134,-0.0134,0.7268,0.1,0.8333,2.2948,0.1457,0.0,1.0,0.0,-1,0.6123
WVMA_10,0.016,-0.016,0.7328,0.1,0.8,1.6836,0.1745,0.0155,0.9845,1.0,-1,0.4002
LIMIT_UP_SPACE,0.0029,0.0029,0.1535,0.1,1.0,2.4524,0.3718,0.0,1.0,0.0,1,-0.08
IS_LIMIT_UP_LAG1,0.0006,0.0006,0.114,0.1,0.6667,1.2334,0.4044,0.0,1.0,0.0,1,-0.6698
TURNOVER_SURGE_20,0.0022,0.0022,0.1309,0.1,0.4,1.5493,0.5375,0.0163,0.9837,0.0,1,-0.8117
TURNOVER_SURGE_5,0.0006,0.0006,0.0379,0.1,0.6,1.3797,0.6753,0.0034,0.9966,0.0,1,-0.8131
AMOUNT_RATIO_5_20,0.001,0.001,0.0567,0.1,0.4,1.5462,0.209,0.0163,0.9837,0.0,1,-0.8241
