factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
CORR_PV_10,-0.0054,0.0637,-0.0848,-0.3012,0.4674,-2.8971,-1.0061,0.003837,0.314578,0.046727
WVMA_20,0.0149,0.0991,0.1506,0.5345,0.5576,5.0574,1.4679,0.0,0.142398,0.114773
TURNOVER_STD_20,0.0094,0.099,0.0953,0.3384,0.544,3.2284,0.9017,0.00128,0.367381,0.06596
CORR_PV_20,-0.0038,0.0658,-0.0583,-0.207,0.476,-1.9909,-0.6398,0.046724,0.522397,0.06596
WVMA_10,0.0101,0.0922,0.1094,0.3883,0.5479,3.706,1.1178,0.000221,0.263877,0.062561
LIMIT_UP_SPACE,0.0113,0.0775,0.1462,0.5189,0.5686,4.9918,1.7479,1e-06,0.080751,0.720763
IS_LIMIT_UP_LAG1,0.0008,0.0206,0.0386,0.1372,0.0309,1.3196,1.0381,0.187225,0.299446,0.547147
TURNOVER_SURGE_20,0.0061,0.0613,0.1001,0.3552,0.5222,3.3893,1.844,0.000725,0.065438,0.669528
TURNOVER_SURGE_5,0.0036,0.061,0.0589,0.2089,0.5112,2.0061,2.3372,0.045078,0.019599,0.858879
AMOUNT_RATIO_5_20,0.0049,0.0652,0.0758,0.2689,0.5362,2.5659,1.05,0.010418,0.293936,0.912493
