factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
CORR_PV_10,WEAK,WEAK,0.6712,-1,20D,-0.0128,0.0641,-0.1991,-0.7068,-6.7991,-2.3549,0.0,0.018691,0.046727,0.4348,-0.0054,0.0637,-0.0848,-0.3012,0.4674,-2.8971,-1.0061,0.003837,0.314578,0.046727,-0.1,0.7804,0.002805,0.002422,2.3645,-0.6481,0.5561,0.8649,1.3378,0.2552,0.8055,3.2144,1.0,0.6276,1.0,VALID,0.0029,-0.011,-0.0205,1.0,0.0,0
WVMA_20,WEAK,WEAK,0.6699,-1,3D,-0.0149,0.0807,-0.1852,-0.6573,-6.219,-1.8521,0.0,0.064273,0.114773,0.4317,0.0149,0.0991,0.1506,0.5345,0.5576,5.0574,1.4679,0.0,0.142398,0.114773,0.3,0.3993,0.001624,0.001468,1.414,-0.6891,0.5257,0.6281,1.0623,0.1041,0.2068,0.9729,1.0,0.5521,0.8,VALID,-0.0153,0.0054,-0.0258,0.9674,0.0326,1
TURNOVER_STD_20,WEAK,WEAK,0.6452,-1,20D,-0.0181,0.0826,-0.2195,-0.7792,-7.4348,-2.1447,0.0,0.032189,0.06596,0.4324,0.0094,0.099,0.0953,0.3384,0.544,3.2284,0.9017,0.00128,0.367381,0.06596,0.1,0.2825,0.001217,0.001128,1.0638,-0.7428,0.5274,0.3305,0.3992,0.0595,0.097,0.506,1.0,0.5297,1.0,VALID,-0.0175,-0.0027,-0.0265,0.9837,0.0163,0
CORR_PV_20,WEAK,WEAK,0.6123,-1,20D,-0.0134,0.0655,-0.2047,-0.7268,-6.9914,-2.1349,0.0,0.03298,0.06596,0.422,-0.0038,0.0658,-0.0583,-0.207,0.476,-1.9909,-0.6398,0.046724,0.522397,0.06596,0.1,0.7606,0.002599,0.002381,2.2948,-0.7029,0.5549,0.8347,1.187,0.1457,0.6794,2.7964,1.0,0.5728,0.8333,VALID,0.0007,-0.0146,-0.019,1.0,0.0,0
WVMA_10,REJECT,REJECT,0.4002,-1,3D,-0.016,0.0775,-0.2064,-0.7328,-6.9946,-2.2068,0.0,0.027527,0.062561,0.4051,0.0101,0.0922,0.1094,0.3883,0.5479,3.706,1.1178,0.000221,0.263877,0.062561,0.1,0.5101,0.002037,0.001775,1.6836,-0.6663,0.5304,0.5703,0.8084,0.1745,0.3618,1.621,1.0,0.5873,0.8,VALID,-0.0062,0.0006,-0.0291,0.9845,0.0155,1
LIMIT_UP_SPACE,REJECT,REJECT,-0.08,1,1D,0.0029,0.0676,0.0432,0.1535,1.4768,0.5798,0.139989,0.562195,0.720763,0.5189,0.0113,0.0775,0.1462,0.5189,0.5686,4.9918,1.7479,1e-06,0.080751,0.720763,0.1,1.3036,0.004136,0.003578,2.4524,-0.754,0.5392,1.3542,2.0787,0.3718,1.5987,3.6101,1.0,0.6859,1.0,VALID,-0.0018,0.0133,-0.0003,1.0,0.0,0
IS_LIMIT_UP_LAG1,REJECT,REJECT,-0.6698,1,3D,0.0006,0.0186,0.0321,0.114,1.0969,0.8727,0.272919,0.383003,0.547147,0.0249,0.0008,0.0206,0.0386,0.1372,0.0309,1.3196,1.0381,0.187225,0.299446,0.547147,0.1,0.3145,0.001812,0.001205,1.2334,-0.092,0.5818,1.0984,6.0523,0.4044,1.9205,4.531,1.0,0.7022,0.6667,VALID,0.0023,-0.0011,0.0007,1.0,0.0,0
TURNOVER_SURGE_20,REJECT,REJECT,-0.8117,1,10D,0.0022,0.0602,0.0369,0.1309,1.2491,0.6608,0.211866,0.508841,0.669528,0.5266,0.0061,0.0613,0.1001,0.3552,0.5222,3.3893,1.844,0.000725,0.065438,0.669528,0.1,0.4773,0.002506,0.001699,1.5493,-0.7316,0.5283,0.4989,1.0165,0.5375,0.6957,2.892,1.0,0.7688,0.4,VALID,0.0126,-0.0013,-0.0006,0.9837,0.0163,0
TURNOVER_SURGE_5,REJECT,REJECT,-0.8131,1,1D,0.0006,0.0583,0.0107,0.0379,0.364,0.3566,0.715902,0.721458,0.858879,0.5112,0.0036,0.061,0.0589,0.2089,0.5112,2.0061,2.3372,0.045078,0.019599,0.858879,0.1,0.3977,0.002484,0.001471,1.3797,-0.7127,0.5165,0.511,1.2403,0.6753,0.6473,2.7843,1.0,0.8376,0.6,VALID,0.0039,-0.0018,0.0004,0.9966,0.0034,0
AMOUNT_RATIO_5_20,REJECT,REJECT,-0.8241,1,1D,0.001,0.0623,0.016,0.0567,0.5413,0.226,0.588384,0.821244,0.912493,0.5135,0.0049,0.0652,0.0758,0.2689,0.5362,2.5659,1.05,0.010418,0.293936,0.912493,0.1,0.4771,0.002013,0.001699,1.5462,-0.7123,0.5369,0.4627,0.6698,0.209,0.4603,2.0706,1.0,0.6045,0.4,VALID,0.0193,-0.0062,-0.0035,0.9837,0.0163,0
