factor_name,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,positive_rank_ic_ratio,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,recommended_direction
CORR_PV_10,-0.0128,0.0641,-0.1991,-0.7068,0.4348,-6.7991,-2.3549,0.0,0.018691,0.046727,-1
WVMA_20,-0.0149,0.0807,-0.1852,-0.6573,0.4317,-6.219,-1.8521,0.0,0.064273,0.114773,-1
TURNOVER_STD_20,-0.0181,0.0826,-0.2195,-0.7792,0.4324,-7.4348,-2.1447,0.0,0.032189,0.06596,-1
CORR_PV_20,-0.0134,0.0655,-0.2047,-0.7268,0.422,-6.9914,-2.1349,0.0,0.03298,0.06596,-1
WVMA_10,-0.016,0.0775,-0.2064,-0.7328,0.4051,-6.9946,-2.2068,0.0,0.027527,0.062561,-1
LIMIT_UP_SPACE,0.0029,0.0676,0.0432,0.1535,0.5189,1.4768,0.5798,0.139989,0.562195,0.720763,1
IS_LIMIT_UP_LAG1,0.0006,0.0186,0.0321,0.114,0.0249,1.0969,0.8727,0.272919,0.383003,0.547147,1
TURNOVER_SURGE_20,0.0022,0.0602,0.0369,0.1309,0.5266,1.2491,0.6608,0.211866,0.508841,0.669528,1
TURNOVER_SURGE_5,0.0006,0.0583,0.0107,0.0379,0.5112,0.364,0.3566,0.715902,0.721458,0.858879,1
AMOUNT_RATIO_5_20,0.001,0.0623,0.016,0.0567,0.5135,0.5413,0.226,0.588384,0.821244,0.912493,1
