factor_name,overall_rank_ic,sign_consistency,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
CORR_PV_10,-0.0128,1.0,VALID,0.0029,-0.011,-0.0205,-0.022,-0.0216,-0.0021,-0.0073,-0.0067,-0.0326
WVMA_10,-0.016,0.8,VALID,-0.0062,0.0006,-0.0291,-0.0419,0.0085,-0.0299,-0.0236,-0.0112,-0.0215
CORR_PV_20,-0.0134,0.8333,VALID,0.0007,-0.0146,-0.019,-0.0211,-0.0329,-0.0058,0.0093,-0.0144,-0.0276
WVMA_20,-0.0149,0.8,VALID,-0.0153,0.0054,-0.0258,-0.0723,0.005,-0.0262,-0.0168,-0.0095,-0.0265
TURNOVER_SURGE_5,0.0006,0.6,VALID,0.0039,-0.0018,0.0004,-0.0015,0.0038,0.0033,0.0007,-0.0028,-0.003
TURNOVER_SURGE_20,0.0022,0.4,VALID,0.0126,-0.0013,-0.0006,0.0281,0.0074,0.0103,-0.0048,-0.0041,-0.006
TURNOVER_STD_20,-0.0181,1.0,VALID,-0.0175,-0.0027,-0.0265,-0.0697,-0.0083,-0.0386,-0.0051,-0.0116,-0.0173
AMOUNT_RATIO_5_20,0.001,0.4,VALID,0.0193,-0.0062,-0.0035,0.0175,0.0075,0.0149,-0.0094,-0.0086,-0.0051
LIMIT_UP_SPACE,0.0029,1.0,VALID,-0.0018,0.0133,-0.0003,0.0019,0.003,0.0047,0.0023,0.0033,0.0005
IS_LIMIT_UP_LAG1,0.0006,0.6667,VALID,0.0023,-0.0011,0.0007,0.0065,-0.0028,-0.0006,0.0029,0.0004,0.0024
