factor_name,long_turnover,long_gross_return,long_sharpe,5bps,10bps,20bps,30bps
CORR_PV_10,0.2552,0.002805,2.3645,0.838442,0.72417,0.516417,0.333611
WVMA_10,0.1745,0.002037,1.6836,0.543643,0.477322,0.353074,0.239238
CORR_PV_20,0.1457,0.002599,2.2948,0.793117,0.728614,0.60646,0.492906
WVMA_20,0.1041,0.001624,1.414,0.417719,0.381052,0.310527,0.24359
TURNOVER_SURGE_5,0.6753,0.002484,1.3797,0.521668,0.283818,-0.086473,-0.35026
TURNOVER_SURGE_20,0.5375,0.002506,1.5493,0.580712,0.380722,0.05322,-0.196835
TURNOVER_STD_20,0.0595,0.001217,1.0638,0.292173,0.272968,0.235408,0.198951
AMOUNT_RATIO_5_20,0.209,0.002013,1.5462,0.51641,0.438718,0.295028,0.165638
LIMIT_UP_SPACE,0.3718,0.004136,2.4524,1.41369,1.198465,0.823686,0.512588
IS_LIMIT_UP_LAG1,0.4044,0.001812,1.2334,0.383782,0.249845,0.019482,-0.168559
