,lightgbm_clf_baseline,double_ensemble,lightgbm_ranker,lightgbm_reg_baseline
2023-07-03,0.2767657314872812,0.2718578663452011,0.2584740578356894,0.2139448425193666
2023-07-04,0.3074551029756842,0.2933141623050382,0.2770319248462958,0.2184521652342127
2023-07-05,0.3162724561184899,0.2768528683048598,0.3044244246704284,0.2246524781819496
2023-07-06,0.3447511849448896,0.2859461997499773,0.297701045060916,0.2564705319238174
2023-07-07,0.2452550786691222,0.2238614095450403,0.2386199515922313,0.1562702850315817
2023-07-10,0.1771193866144248,0.1809625009042043,0.1788571237604569,0.08475578714459
2023-07-11,0.244156170145487,0.2323617791200664,0.2220810954853549,0.1612459552042914
2023-07-12,0.2337080868057556,0.2112959216131759,0.1781075485761705,0.1601387337760969
2023-07-13,0.2843561898010843,0.2757956691534566,0.2467129865114773,0.1971674038129543
2023-07-14,0.3150566968415427,0.3140911613992649,0.3013523981896632,0.2226881230545231
2023-07-17,0.2866243467315093,0.2328239466657317,0.211828508240243,0.1524336497901204
2023-07-18,0.295078656861307,0.2143301705970523,0.1772799741244056,0.146324519656307
2023-07-19,0.3389706281906241,0.2654729487643099,0.2325940994674772,0.1793508413354256
2023-07-20,0.2400216235065447,0.1906451456840722,0.1307338602587869,0.1177530851845387
2023-07-21,0.2780960808118505,0.2043380440156842,0.164280914725579,0.1280650352004907
2023-07-24,0.2717658884903495,0.2119701706894375,0.1453259899141625,0.0569970687491508
2023-07-25,0.1622601274832723,0.1517468358808875,0.0619952863794937,-0.0039491667006424
2023-07-26,0.2327982538535842,0.1434136564112428,0.0753850968437769,0.0010296005762915
2023-07-27,0.0985965643363956,0.0729618057170495,0.049702710662189,-0.0701571745898911
2023-07-28,0.1649719265020913,0.1260693139329622,0.1087376807347464,-0.0328504375711169
2023-07-31,0.0907158812506957,0.0770972141849488,0.0757309177499261,-0.0516001674785177
2023-08-01,0.0137656973098472,0.0108512501818617,0.024517471930071,-0.0530797754778077
2023-08-02,-0.0105429724287599,-0.0310471957528019,-0.014117958316059,-0.0685552976994883
2023-08-03,0.0031425583524075,0.0032519378934552,0.0267228212539898,-0.070705329737677
2023-08-04,0.0897290858079,0.033511974897863,0.0644916338950356,-0.0037282943097816
2023-08-07,0.0881384390225301,0.0367945469131547,0.0519454810494957,-0.0010366505437626
2023-08-08,0.1151504382930005,0.0933865499334798,0.1232318951053424,0.0800361225663142
2023-08-09,0.0865866837376707,0.088644628051378,0.0992367869246156,0.0294211553267813
2023-08-10,0.0870248623459592,0.0873231107794069,0.107529327143696,0.0036495950672313
2023-08-11,0.0876426036507789,0.0610843091267204,0.0790279294460614,0.0297049596522264
2023-08-14,0.0427831005792654,0.0415465203938938,0.0524654033781498,-0.007289302855542
2023-08-15,0.0712271676021751,0.0839513244915226,0.1024863369180876,0.0517124268173812
2023-08-16,0.0861260734352657,0.0871477830506466,0.1464060008585153,0.1216484457673132
2023-08-17,0.1371937581487997,0.1130774725481361,0.153406254812912,0.1376586760154345
2023-08-18,0.116451532376336,0.1090280432752019,0.1587276780672077,0.1422367457953323
2023-08-21,0.0943495993315663,0.0888234664692479,0.1125794466940569,0.1488153794916159
2023-08-22,0.1185959457145897,0.1503348419304713,0.175763206852832,0.1994054347668954
2023-08-23,0.0812485829434982,0.1324864150474357,0.116594111103001,0.1870269008002764
2023-08-24,0.1555093742680002,0.1979018285255538,0.1804325200867299,0.2502726396055395
2023-08-25,0.0986558206897189,0.1464318277673308,0.0970453030862794,0.164226552884546
2023-08-28,0.1272197761443514,0.1231934696476303,0.1339762112349967,0.0896678100697698
2023-08-29,0.136007047129385,0.1590813472230724,0.1359613328431208,0.0748321707840757
2023-08-30,0.1115537599736321,0.1459235212782346,0.1157120070184922,0.0624287494573451
2023-08-31,0.0959305671506971,0.144661821755678,0.1295576391535169,0.1041606706749995
2023-09-01,0.1196725982221598,0.1636796461730978,0.1593359235238459,0.0997849772831735
2023-09-04,0.1410028717100496,0.1974523972905615,0.2083178565256198,0.1246290052882735
2023-09-05,0.0182445621331025,0.0985290455068862,0.0816960968220421,0.0272411575265142
2023-09-06,0.0237475589027144,0.0733385241950573,0.0832801020007878,0.0430258530610805
2023-09-07,0.0458795573415227,0.1352286186682013,0.1121589772553865,0.0727538661469185
2023-09-08,0.0217123207726559,0.1302958884067203,0.1173924983501024,0.046745599366313
2023-09-11,0.0484664668828613,0.1391614425474917,0.1427804812423319,0.0673595795789262
2023-09-12,0.0368259072781821,0.1480607897644329,0.1321558354307432,0.0812984937989714
2023-09-13,-0.0341796579026614,0.0651527096160461,0.0544868476533429,0.0706910638560547
2023-09-14,-0.0300468137791616,0.030410155242336,0.0405178597601785,0.0420567245113442
2023-09-15,-0.010338386308522,0.0425885053003697,0.0712384375140554,0.0202088043378049
2023-09-18,-0.0132053532139333,0.0798359222088035,0.0790439415780179,0.0555583960984423
2023-09-19,0.0104487444582943,0.1208479805901418,0.0916730203009643,0.0585792712312948
2023-09-20,0.0192537046509798,0.132412103724399,0.1004060658510911,0.073777732123463
2023-09-21,0.0430021900184622,0.0975355941457636,0.0977346848098734,0.0896117595712024
2023-09-22,0.0804513668297197,0.1469997902756144,0.1392006866659809,0.0978764836742148
2023-09-25,0.0347360658440043,0.1089467868037675,0.1223961264451621,0.0791128492675825
2023-09-26,0.0547379682014745,0.1236575558609456,0.1333359553762767,0.1033525660114804
2023-09-27,0.0869455373457698,0.1600670007449668,0.1418147156745645,0.0925140942305667
2023-09-28,0.0648551854176164,0.1266370191317889,0.08798638141313,0.0663526154808245
2023-10-09,0.0512544740480022,0.0838102060924066,0.1009059419865358,0.085514266233886
2023-10-10,0.0260772666793944,0.056940259769409,0.0666036381563895,0.1128350883501462
2023-10-11,0.0228090562884961,0.0672875136872558,0.0801628385671024,0.0766401662739924
2023-10-12,-0.0052486170763163,0.0420113716575244,0.0866420072792078,0.0856276348175964
2023-10-13,-0.054421908928243,-0.04185813809441,0.0035451247034928,0.0209864571586191
2023-10-16,-0.0062425959781672,-0.0420344937756163,-0.0400431533456709,0.0255500665324673
2023-10-17,0.0210050011525828,-0.0309328547583581,-0.0494654658427616,0.0335644219692549
2023-10-18,0.0632078443650241,-0.0312555574857452,-0.0368954977216798,0.0441628782686776
2023-10-19,0.0615104601414138,-0.0241441890424883,-0.0109730305212993,0.0042084033398524
2023-10-20,0.0304674856984009,-0.0503690084226997,-0.0553501110847466,0.0036520711693573
2023-10-23,0.1395404496197963,0.0556362367968968,0.0526810791859334,0.1444116399535442
2023-10-24,0.1197915211389828,0.0402134944829091,0.023673939222556,0.0746761032212596
2023-10-25,0.0908692505036608,0.0222326251647864,0.0247091996289644,0.1019560384895786
2023-10-26,0.0549777454289668,0.0126592425250143,0.0007777791519525,0.096662058629625
2023-10-27,0.0294563678052976,0.0434487810648765,0.0476193366311543,0.0945214449192068
2023-10-30,0.1146711867481209,0.1472598959209039,0.1065283092509779,0.1381177395325317
2023-10-31,0.1723202747419824,0.1955401221478688,0.1553771862556381,0.1516744737533308
2023-11-01,0.1564399783065321,0.1972550615615323,0.1505117617016451,0.1747243021007385
2023-11-02,0.1368418352518903,0.1579554832949367,0.1144902552348211,0.157880263376111
2023-11-03,0.1268820171805205,0.1431432958278596,0.0838449990209112,0.1276511315606568
2023-11-06,0.1856949279943805,0.188453640547358,0.1443851798310412,0.1831379120099996
2023-11-07,0.1797774425069458,0.1618545351192725,0.1656172631685718,0.1989049972448311
2023-11-08,0.173424687715648,0.1454716183858435,0.1460961920914872,0.1757487465256362
2023-11-09,0.1698531052847706,0.1466865904975978,0.1707800320408951,0.189337527887989
2023-11-10,0.1897293101763951,0.1447167284028312,0.1186280630667594,0.1631466455595336
2023-11-13,0.1572634272803407,0.1251226154543749,0.098064204356458,0.1594258265068989
2023-11-14,0.1725459659029758,0.1406181077133295,0.0970832694919949,0.1302261266739397
2023-11-15,0.2175171252711351,0.1447971169152441,0.0952363611753634,0.1531782957153585
2023-11-16,0.1707457282886978,0.1034941286619139,0.0800536839585985,0.1561946612288808
2023-11-17,0.1749823247755667,0.0939219635869795,0.0699226930118193,0.1641029268826039
2023-11-20,0.1549538028014402,0.0586808590164294,0.020825668080796,0.1327829816337872
2023-11-21,0.1043775439256175,0.0265785920148336,0.0148743957978106,0.108763363076981
2023-11-22,0.0777984386264662,0.0339981570189193,-0.0159801424274228,0.1391916082802915
2023-11-23,0.0563609761026759,-0.0058401904039487,0.0023134032759358,0.1025788075194509
2023-11-24,0.0892838452532508,-0.0149980859038203,-0.0296746241860604,0.1221900127332897
2023-11-27,0.0373116117228764,-0.0622101804848275,-0.0578641683468675,0.0211995480314425
2023-11-28,0.076502790396128,-0.023259394594062,-0.0467295600830951,0.0212875957216893
2023-11-29,0.0808711057544981,-0.0275084855676521,-0.0661195169884276,0.0042414833644184
2023-11-30,0.0396488414036699,-0.0069032139923516,-0.0049833030025015,-0.0091539804092513
2023-12-01,0.0306599375613989,0.0629749892130485,0.0115222456753467,0.0495740601619538
2023-12-04,0.066990474551172,0.1171914222193482,0.0621079443389608,0.0773553362856058
2023-12-05,0.0819256219405025,0.1327387479929852,0.0916133390709661,0.0676943469074715
2023-12-06,0.1280924928785484,0.1555718044757495,0.1059296952332639,0.1063991226443232
2023-12-07,0.1380281087319021,0.1462622267408666,0.0924670540109129,0.0282041188474277
2023-12-08,0.1539018221210927,0.1965340760484006,0.1339776912454113,0.0398181520880194
2023-12-11,0.1636304682333682,0.1926299180536468,0.1358019035985137,0.0167804764322858
2023-12-12,0.18888621816376,0.2152575581814788,0.1814220065295634,0.0566769597723965
2023-12-13,0.1616603156868473,0.1894914808608895,0.1882263324029061,0.0100275664198772
2023-12-14,0.1897901947561262,0.2176002517465907,0.2107138648769892,0.0426996851789225
2023-12-15,0.1737912200454099,0.2030939739742887,0.188498780487397,0.0457355073187444
2023-12-18,0.1834832590658245,0.2182358019515642,0.1681819290517568,0.0764154007524086
2023-12-19,0.1799482051904311,0.2287083280420284,0.1693575094646679,0.0811120770217311
2023-12-20,0.0886707139797483,0.1501343644744164,0.0759852547738138,0.0376134797794698
2023-12-21,0.1191996344694346,0.1501198503635293,0.0540245094366756,0.0172648905400022
2023-12-22,0.0066235001649474,0.0419788305694346,-0.0227359783596874,-0.0686785919978768
2023-12-25,-0.01321078964375,0.0462568378911652,-0.0349193120161732,-0.0607422547539267
2023-12-26,0.0614563087254394,0.1052641320267751,0.0437188572429579,0.0119848308265467
