,lightgbm_clf_baseline,lightgbm_reg_baseline,lightgbm_ranker
2023-07-03,0.10166611254517824,0.12104614743146329,0.12530645445675945
2023-07-04,0.17691635923810364,0.1440917951714575,0.17489254174961852
2023-07-05,0.1462042441335752,0.12024625190889486,0.14818739551002905
2023-07-06,0.13675063045081315,0.1784401687926424,0.17678071862203096
2023-07-07,0.07743721437433122,0.11185138962022223,0.16012086471468862
2023-07-10,0.02734565912904451,0.019351692462334417,0.07455450471349066
2023-07-11,0.1296592575432356,0.10592794962966867,0.11551764137170512
2023-07-12,0.08636453292273089,0.11455528070722439,0.07283311909853565
2023-07-13,0.09437106217925981,0.1541045849275854,0.12306992408065068
2023-07-14,0.0574422964991692,0.14599036927918674,0.11974668310259996
2023-07-17,0.04504368142469054,0.17961375883662642,0.12665091101605333
2023-07-18,0.0607731559010942,0.15423353277799626,0.1861290277839713
2023-07-19,0.08070761396583055,0.1531105978424897,0.19636140181147205
2023-07-20,-0.0018629113050918603,0.10321646680278328,0.18369084445611628
2023-07-21,0.04987501419217261,0.18885861098500695,0.1487863892849519
2023-07-24,0.03516404260600656,0.11161011341378449,0.13239070417278193
2023-07-25,0.03376539608497359,0.08188264358171607,0.06842277743829589
2023-07-26,0.07850265762726606,0.0934413470527649,0.07068857357093217
2023-07-27,0.055949764543056286,0.0559651149531912,-0.024344546112970194
2023-07-28,0.12838285298293042,0.06368630780108828,0.08892832328815176
2023-07-31,0.049552666122205685,0.0856234662103748,0.06503565351218288
2023-08-01,0.061632751723361,0.0722910050366527,-0.015295833092386328
2023-08-02,0.04218248315538725,0.07394080728592653,-0.02093761681606653
2023-08-03,-0.007955795334068722,0.01803459844481942,-0.024091984546145133
2023-08-04,0.06748177053506167,0.03820737920356855,0.03213727993908365
2023-08-07,0.05342033517868887,0.06960781174544035,0.07088923738976248
2023-08-08,0.12373844218523047,0.10537251981267268,0.09449878744908109
2023-08-09,0.05998710969283656,0.1476085263670993,0.1263479221367523
2023-08-10,0.05162832512497742,0.07256371069695254,0.14551587927560994
2023-08-11,0.06891337950018521,0.09491309561678783,0.19283477273512362
2023-08-14,0.0825052741837418,0.07605464909052058,0.17829569622025646
2023-08-15,0.0916496187776667,0.0513782068287422,0.1315140026161574
2023-08-16,0.08312063821412277,0.06679721574717172,0.15936174292438998
2023-08-17,0.11736682805356533,0.0894607788936906,0.20133495909868704
2023-08-18,0.14546164608427134,0.09983058431211815,0.16237187185747085
2023-08-21,0.07984808726145795,0.09609777465576812,0.14925607518364706
2023-08-22,0.14077702389583316,0.10615617742748372,0.16309840580457816
2023-08-23,0.10884262940728555,0.10266544499652289,0.13143217963541587
2023-08-24,0.10776752572830745,0.15539182946308833,0.12145784691785194
2023-08-25,0.00866802910842392,0.12437439427641679,0.013143641884614626
2023-08-28,0.11984068346336212,0.1606247195529127,0.1341315586458589
