factor_name,long_turnover,long_gross_return,long_sharpe,5bps,10bps,20bps,30bps
ROC250,0.0558,0.002139,2.0192,0.636254,0.613451,0.568792,0.525363
MAX_RATIO_250,0.061,0.002951,2.626,0.99472,0.964384,0.905083,0.847566
MIN_RATIO_250,0.054,0.001775,1.7611,0.498838,0.478623,0.439003,0.40044
MA_RATIO_250,0.0568,0.002494,2.3089,0.785847,0.760542,0.710999,0.662844
STD5,0.2796,0.001673,1.1833,0.37132,0.278103,0.110182,-0.035753
STD10,0.1519,0.001725,1.4336,0.435989,0.382124,0.280358,0.186058
STD20,0.085,0.00172,1.5721,0.46175,0.430824,0.370915,0.313504
STD30,0.0599,0.001454,1.3473,0.375834,0.355256,0.315015,0.275965
STD60,0.0344,0.001293,1.2293,0.329665,0.318184,0.295517,0.273239
STD120,0.022,0.002039,2.1037,0.615373,0.606476,0.588826,0.571371
