signal_date,entry_date,entry_price_type,earliest_exit_date,actual_exit_date,exit_delay_days,exit_attempt_count,exit_status,exit_price_type,requested_long_count,executed_long_count,rejected_long_count,long_gross_return,benchmark_return,long_excess_return,entry_commission,exit_commission,stamp_duty,slippage,total_cost,long_net_return,factor_diagnostic_spread,long_turnover,short_turnover,gross_turnover,long_equity_curve,bench_equity_curve
2021-11-17,2021-11-18,open,2021-11-19,2021-12-02,5,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.006494625889617514,-0.0064679266136252744,0.012962552503242788,0.0003,0.0003,0.0005,0.0004,0.0015,0.004994625889617514,0.011175733731917692,1.0,1.0,1.0,1.0049946258896174,0.9935320733863747
2021-11-18,2021-11-19,open,2021-11-22,2021-12-03,5,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.023368626565369106,0.005157220729874901,0.018211405835494205,2.1818181818181825e-05,2.1818181818181825e-05,3.636363636363638e-05,2.9090909090909103e-05,0.00010909090909090913,0.023259535656278196,0.0081449838394104,0.07272727272727275,1.0,0.5363636363636364,1.028370334224865,0.9986559375910385
2021-11-19,2021-11-22,open,2021-11-23,2021-12-06,6,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.00988175640355486,0.0028682098334187334,0.0070135465701361265,2.727272727272728e-05,2.727272727272728e-05,4.545454545454547e-05,3.636363636363638e-05,0.00013636363636363642,0.009745392767191224,-0.0033207685652760464,0.09090909090909094,1.0,0.5454545454545454,1.038392207042014,1.0015202923714392
2021-11-22,2021-11-23,open,2021-11-24,2021-12-07,6,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.010169574885047362,0.005109708813661573,0.005059866071385789,2.1818181818181825e-05,2.1818181818181825e-05,3.636363636363638e-05,2.9090909090909103e-05,0.00010909090909090913,0.010060483975956453,0.011210003862674175,0.07272727272727275,1.0,0.5363636363636364,1.0488389352017182,1.0066377694364306
2021-11-23,2021-11-24,open,2021-11-25,2021-12-08,6,7,UNEXECUTED_TIMEOUT,open,55,55,0,0.011148882239159729,0.004147107860823729,0.007001774378336,2.727272727272728e-05,2.727272727272728e-05,4.545454545454547e-05,3.636363636363638e-05,0.00013636363636363642,0.011012518602796093,0.012776021972356662,0.09090909090909094,1.0,0.5454545454545454,1.0603892934869639,1.0108124048430625
2021-11-24,2021-11-25,open,2021-11-26,2021-12-09,6,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.017488373321044616,0.016894602780295864,0.0005937705407487517,3.272727272727274e-05,3.272727272727274e-05,5.4545454545454567e-05,4.3636363636363656e-05,0.00016363636363636369,0.017324736957408254,0.023979732766756186,0.10909090909090913,1.0,0.5545454545454546,1.0787602590690775,1.0278896789082816
2021-11-25,2021-11-26,open,2021-11-29,2021-12-10,6,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.00889145061374051,0.032600279274279664,-0.023708828660539152,5.454545454545456e-06,5.454545454545456e-06,9.090909090909094e-06,7.272727272727276e-06,2.7272727272727283e-05,0.008864177886467784,0.02785517775870809,0.018181818181818188,1.0,0.509090909090909,1.088322581902318,1.0613991695038414
2021-11-26,2021-11-29,open,2021-11-30,2021-12-13,6,7,UNEXECUTED_TIMEOUT,open,55,54,1,0.038041302689596615,0.05601985890056116,-0.017978556210964544,1.1111111111111127e-05,1.1111111111111127e-05,1.8518518518518545e-05,1.4814814814814837e-05,5.555555555555564e-05,0.037985747134041056,0.011025135161337758,0.03703703703703709,1.0,0.5185185185185186,1.129663328298726,1.1208586012166193
2021-11-29,2021-11-30,open,2021-12-01,2021-12-14,6,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.02834460947960142,0.04306343821099601,-0.014718828731394587,3.8181818181818194e-05,3.8181818181818194e-05,6.363636363636365e-05,5.090909090909093e-05,0.00019090909090909098,0.02815370038869233,0.03495000758321308,0.12727272727272732,1.0,0.5636363636363637,1.1614675311837412,1.1691266263333746
2021-11-30,2021-12-01,open,2021-12-02,2021-12-15,6,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.030416755203235966,0.04230126147351476,-0.011884506270278795,5.454545454545456e-06,5.454545454545456e-06,9.090909090909094e-06,7.272727272727276e-06,2.7272727272727283e-05,0.03038948247596324,0.03202469065778782,0.018181818181818188,1.0,0.509090909090909,1.1967639283690497,1.2185821574495508
