factor_name,raw_rank_ic,orthogonalized_rank_ic,delta_rank_ic,successful_cross_sections,failed_cross_sections,status
ROC250,-0.0054,-0.0054,0.0,937,250,REAL_CALCULATED
MAX_RATIO_250,0.0045,-0.0053,-0.0097,937,250,REAL_CALCULATED
MIN_RATIO_250,0.0127,0.0124,-0.0003,937,250,REAL_CALCULATED
MA_RATIO_250,0.0122,0.0092,-0.0031,937,250,REAL_CALCULATED
STD5,-0.0132,-0.0187,-0.0056,937,250,REAL_CALCULATED
STD10,-0.0186,-0.0148,0.0037,937,250,REAL_CALCULATED
STD20,-0.0209,-0.0097,0.0112,937,250,REAL_CALCULATED
STD30,-0.0229,-0.0063,0.0166,937,250,REAL_CALCULATED
STD60,-0.0209,-0.0058,0.015,937,250,REAL_CALCULATED
STD120,-0.0151,0.005,0.0202,937,250,REAL_CALCULATED
