factor_name,abs_rank_ic,rank_ic,rank_ic_ir,monotonicity,sign_stability,net_sharpe,turnover,missing_ratio,coverage_ratio,is_redundant,recommended_direction,selection_score
STD30,0.0229,-0.0229,0.8074,0.3,0.8,1.3473,0.0599,0.0258,0.9742,1.0,-1,0.564
STD20,0.0209,-0.0209,0.7797,0.3,0.8,1.5721,0.085,0.0172,0.9828,1.0,-1,0.4813
STD10,0.0186,-0.0186,0.7626,0.3,0.8,1.4336,0.1519,0.0086,0.9914,1.0,-1,0.2914
STD60,0.0209,-0.0209,0.7145,0.1,0.8,1.2293,0.0344,0.0515,0.9485,1.0,-1,0.1943
MIN_RATIO_250,0.0127,0.0127,0.3794,0.5,1.0,1.7611,0.054,0.2136,0.7864,1.0,1,0.0554
STD5,0.0132,-0.0132,0.6053,0.6,0.8,1.1833,0.2796,0.0043,0.9957,1.0,-1,0.0491
STD120,0.0151,-0.0151,0.5336,0.1,0.6,2.1037,0.022,0.103,0.897,1.0,-1,-0.2076
MA_RATIO_250,0.0122,0.0122,0.3613,0.3,0.75,2.3089,0.0568,0.2136,0.7864,1.0,1,-0.2324
MAX_RATIO_250,0.0045,0.0045,0.1481,0.1,0.5,2.626,0.061,0.2136,0.7864,0.0,1,-0.9639
ROC250,0.0054,-0.0054,0.1599,0.3,0.25,2.0192,0.0558,0.2145,0.7855,1.0,-1,-1.1317
