factor_name,raw_rank_ic,neutralized_rank_ic,delta_rank_ic,total_dates,successful_dates,failed_dates,mean_cross_section_size,min_cross_section_size,max_cross_section_size,status
ROC250,-0.0054,-0.0056,-0.0002,1187,916,271,292.8,267,298,REAL_CALCULATED
MAX_RATIO_250,0.0045,0.0043,-0.0002,1187,917,270,292.8,267,298,REAL_CALCULATED
MIN_RATIO_250,0.0127,0.0126,-0.0001,1187,917,270,292.8,267,298,REAL_CALCULATED
MA_RATIO_250,0.0122,0.0122,-0.0,1187,917,270,292.8,267,298,REAL_CALCULATED
STD5,-0.0132,-0.014,-0.0008,1187,1161,26,294.2,278,300,REAL_CALCULATED
STD10,-0.0186,-0.0194,-0.0008,1187,1156,31,294.2,278,300,REAL_CALCULATED
STD20,-0.0209,-0.0215,-0.0006,1187,1146,41,294.1,278,300,REAL_CALCULATED
STD30,-0.0229,-0.0233,-0.0004,1187,1136,51,294.1,277,300,REAL_CALCULATED
STD60,-0.0209,-0.0208,0.0001,1187,1106,81,293.9,274,300,REAL_CALCULATED
STD120,-0.0151,-0.0156,-0.0004,1187,1046,141,293.6,273,300,REAL_CALCULATED
