factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
STD30,USEFUL,USEFUL,0.564,-1,20D,-0.0229,0.1006,-0.2275,-0.8074,-7.6663,-2.0976,0.0,0.036163,0.084764,0.4058,0.0156,0.1195,0.1305,0.4632,0.5625,4.3981,1.2229,1.2e-05,0.221625,0.084764,0.3,0.3655,0.001454,0.001365,1.3473,-0.6728,0.5307,0.554,0.8503,0.0599,0.137,0.6457,1.0,0.5299,0.8,VALID,-0.0208,0.0065,-0.0395,0.9742,0.0258,3
STD20,REJECT,REJECT,0.4813,-1,20D,-0.0209,0.0952,-0.2197,-0.7797,-7.4358,-2.0849,0.0,0.037296,0.084764,0.4049,0.0151,0.1138,0.1329,0.4717,0.5585,4.4987,1.2631,8e-06,0.2068,0.084764,0.3,0.4462,0.00172,0.001593,1.5721,-0.687,0.5408,0.6319,0.9811,0.085,0.2221,1.0136,1.0,0.5425,0.8,VALID,-0.0196,0.0067,-0.036,0.9828,0.0172,3
STD10,WEAK,WEAK,0.2914,-1,20D,-0.0186,0.0865,-0.2148,-0.7626,-7.3043,-2.1465,0.0,0.032042,0.080105,0.3927,0.0117,0.1065,0.1101,0.3908,0.5554,3.7434,1.0787,0.00019,0.280955,0.080105,0.3,0.4088,0.001725,0.001497,1.4336,-0.7104,0.5268,0.437,0.6191,0.1519,0.2336,1.036,1.0,0.576,0.8,VALID,-0.0073,0.0028,-0.0346,0.9914,0.0086,2
STD60,REJECT,REJECT,0.1943,-1,20D,-0.0209,0.1037,-0.2013,-0.7145,-6.6937,-1.8532,0.0,0.064123,0.119804,0.4042,0.0188,0.1214,0.1549,0.5498,0.5624,5.1507,1.4219,0.0,0.155339,0.119804,0.1,0.3239,0.001293,0.001241,1.2293,-0.6559,0.5396,0.5595,0.8962,0.0344,0.0881,0.416,1.0,0.5172,0.8,VALID,-0.0187,0.0029,-0.0351,0.9485,0.0515,3
MIN_RATIO_250,REJECT,REJECT,0.0554,1,20D,0.0127,0.1189,0.1069,0.3794,3.2364,0.9159,0.001254,0.359972,0.499961,0.5431,-0.0186,0.1346,-0.138,-0.4898,0.4231,-4.1781,-1.1627,3.2e-05,0.245263,0.499961,-0.5,0.4887,0.001775,0.001694,1.7611,-0.481,0.5427,-0.2764,-0.5543,0.054,0.1937,1.0407,1.0,0.527,1.0,VALID,0.0068,0.0238,0.0108,0.7864,0.2136,1
STD5,REJECT,REJECT,0.0491,-1,20D,-0.0132,0.0772,-0.1705,-0.6053,-5.8099,-1.8609,0.0,0.063007,0.119804,0.4195,0.0111,0.0941,0.1185,0.4207,0.5719,4.0382,1.2436,5.7e-05,0.213906,0.119804,0.6,0.3239,0.001673,0.001254,1.1833,-0.6844,0.5169,0.3751,0.6586,0.2796,0.1864,0.8671,1.0,0.6398,0.8,VALID,-0.0034,0.0067,-0.0277,0.9957,0.0043,2
STD120,REJECT,REJECT,-0.2076,-1,3D,-0.0151,0.1007,-0.1503,-0.5336,-4.8615,-1.3418,1e-06,0.179967,0.274318,0.4245,0.0235,0.1193,0.197,0.6993,0.565,6.3718,1.7569,0.0,0.079233,0.274318,0.1,0.6109,0.002039,0.002006,2.1037,-0.4251,0.5418,0.3363,0.2231,0.022,0.2622,1.2605,1.0,0.511,0.6,VALID,-0.0173,0.0164,-0.0295,0.897,0.103,3
MA_RATIO_250,REJECT,REJECT,-0.2324,1,20D,0.0122,0.1204,0.1018,0.3613,3.0818,0.8705,0.002119,0.384267,0.505655,0.5234,-0.0042,0.1321,-0.0318,-0.113,0.4809,-0.9644,-0.2722,0.335103,0.785568,0.505655,-0.3,0.7732,0.002494,0.002409,2.3089,-0.3842,0.5598,-0.2385,-0.4443,0.0568,0.4515,2.1505,1.0,0.5284,0.75,VALID,0.0035,0.0388,0.0052,0.7864,0.2136,1
MAX_RATIO_250,REJECT,REJECT,-0.9639,1,20D,0.0045,0.1074,0.0417,0.1481,1.2633,0.3574,0.206801,0.720842,0.838188,0.4962,0.0103,0.1049,0.0979,0.3475,0.518,2.9641,0.8438,0.003114,0.399011,0.838188,0.1,0.9795,0.002951,0.00286,2.626,-0.3779,0.5609,0.2391,0.0518,0.061,0.7049,3.373,1.0,0.5305,0.5,VALID,-0.024,0.0445,0.001,0.7864,0.2136,0
ROC250,REJECT,REJECT,-1.1317,-1,20D,-0.0054,0.1207,-0.045,-0.1599,-1.363,-0.3859,0.173205,0.69963,0.832893,0.5131,0.009,0.1327,0.0675,0.2395,0.5469,2.0421,0.5674,0.041429,0.570584,0.832893,0.3,0.6248,0.002139,0.002056,2.0192,-0.4525,0.5369,-0.2757,-0.5048,0.0558,0.307,1.5829,1.0,0.5279,0.25,VALID,-0.011,-0.0232,0.0045,0.7855,0.2145,1
