factor_name,best_horizon,half_life_days,1D,3D,5D,10D,20D
ROC250,20D,,0.0032,0.0006,-0.0003,-0.0015,-0.0054
MAX_RATIO_250,20D,,-0.0036,-0.0012,0.0003,0.0019,0.0045
MIN_RATIO_250,20D,,0.0047,0.0085,0.0091,0.0087,0.0127
MA_RATIO_250,20D,,-0.0002,0.0039,0.0047,0.0071,0.0122
STD5,20D,,-0.0094,-0.0128,-0.0121,-0.0086,-0.0132
STD10,20D,,-0.0122,-0.0164,-0.0143,-0.0122,-0.0186
STD20,20D,,-0.0126,-0.0177,-0.0165,-0.0159,-0.0209
STD30,20D,,-0.0137,-0.0183,-0.0168,-0.0149,-0.0229
STD60,20D,,-0.0134,-0.018,-0.0171,-0.0149,-0.0209
STD120,3D,,-0.0127,-0.0162,-0.0155,-0.0119,-0.0151
