factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
STD30,0.0156,0.1195,0.1305,0.4632,0.5625,4.3981,1.2229,1.2e-05,0.221625,0.084764
STD20,0.0151,0.1138,0.1329,0.4717,0.5585,4.4987,1.2631,8e-06,0.2068,0.084764
STD10,0.0117,0.1065,0.1101,0.3908,0.5554,3.7434,1.0787,0.00019,0.280955,0.080105
STD60,0.0188,0.1214,0.1549,0.5498,0.5624,5.1507,1.4219,0.0,0.155339,0.119804
MIN_RATIO_250,-0.0186,0.1346,-0.138,-0.4898,0.4231,-4.1781,-1.1627,3.2e-05,0.245263,0.499961
STD5,0.0111,0.0941,0.1185,0.4207,0.5719,4.0382,1.2436,5.7e-05,0.213906,0.119804
STD120,0.0235,0.1193,0.197,0.6993,0.565,6.3718,1.7569,0.0,0.079233,0.274318
MA_RATIO_250,-0.0042,0.1321,-0.0318,-0.113,0.4809,-0.9644,-0.2722,0.335103,0.785568,0.505655
MAX_RATIO_250,0.0103,0.1049,0.0979,0.3475,0.518,2.9641,0.8438,0.003114,0.399011,0.838188
ROC250,0.009,0.1327,0.0675,0.2395,0.5469,2.0421,0.5674,0.041429,0.570584,0.832893
