factor_name,overall_rank_ic,sign_consistency,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026,ic_2021
ROC250,-0.0054,0.25,VALID,-0.011,-0.0232,0.0045,-0.1353,0.0209,0.0039,-0.0166,0.0037,
MAX_RATIO_250,0.0045,0.5,VALID,-0.024,0.0445,0.001,0.1576,-0.0538,0.0226,0.0215,-0.0179,
MIN_RATIO_250,0.0127,1.0,VALID,0.0068,0.0238,0.0108,0.0953,0.0074,0.008,0.0043,0.0115,
MA_RATIO_250,0.0122,0.75,VALID,0.0035,0.0388,0.0052,0.1527,-0.0315,0.018,0.0233,0.0021,
STD5,-0.0132,0.8,VALID,-0.0034,0.0067,-0.0277,0.0138,-0.0313,-0.0168,-0.0099,-0.0179,-0.0374
STD10,-0.0186,0.8,VALID,-0.0073,0.0028,-0.0346,0.0114,-0.0392,-0.0237,-0.0096,-0.025,-0.0629
STD20,-0.0209,0.8,VALID,-0.0196,0.0067,-0.036,0.0073,-0.041,-0.0205,-0.0084,-0.0354,-0.0942
STD30,-0.0229,0.8,VALID,-0.0208,0.0065,-0.0395,0.0047,-0.0468,-0.0143,-0.01,-0.0385,-0.1438
STD60,-0.0209,0.8,VALID,-0.0187,0.0029,-0.0351,-0.0032,-0.0623,-0.0123,0.0074,-0.0417,-0.1586
STD120,-0.0151,0.6,VALID,-0.0173,0.0164,-0.0295,0.0074,-0.0539,-0.0035,0.0129,-0.0481,
