factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
ROC250,1D,0.0032,0.9163,0.359766,0.499961
ROC250,3D,0.0006,0.105,0.91638,0.968016
ROC250,5D,-0.0003,-0.0482,0.961563,0.968016
ROC250,10D,-0.0015,-0.1416,0.887456,0.964626
ROC250,20D,-0.0054,-0.3859,0.69963,0.832893
MAX_RATIO_250,1D,-0.0036,-1.1015,0.270973,0.39849
MAX_RATIO_250,3D,-0.0012,-0.2439,0.807332,0.917423
MAX_RATIO_250,5D,0.0003,0.0401,0.968016,0.968016
MAX_RATIO_250,10D,0.0019,0.2191,0.826647,0.918497
MAX_RATIO_250,20D,0.0045,0.3574,0.720842,0.838188
MIN_RATIO_250,1D,0.0047,1.3385,0.18105,0.274318
MIN_RATIO_250,3D,0.0085,1.631,0.103221,0.177967
MIN_RATIO_250,5D,0.0091,1.34,0.180575,0.274318
MIN_RATIO_250,10D,0.0087,0.8704,0.384298,0.505655
MIN_RATIO_250,20D,0.0127,0.9159,0.359972,0.499961
MA_RATIO_250,1D,-0.0002,-0.0523,0.958335,0.968016
MA_RATIO_250,3D,0.0039,0.7269,0.467448,0.598817
MA_RATIO_250,5D,0.0047,0.6889,0.49103,0.598817
MA_RATIO_250,10D,0.0071,0.7075,0.479427,0.598817
MA_RATIO_250,20D,0.0122,0.8705,0.384267,0.505655
STD5,1D,-0.0094,-4.1007,4.4e-05,0.00022
STD5,3D,-0.0128,-4.054,5.4e-05,0.000245
STD5,5D,-0.0121,-3.0538,0.002311,0.007121
STD5,10D,-0.0086,-1.6379,0.101721,0.177967
STD5,20D,-0.0132,-1.8609,0.063007,0.119804
STD10,1D,-0.0122,-4.8495,1e-06,2.5e-05
STD10,3D,-0.0164,-4.5671,5e-06,5e-05
STD10,5D,-0.0143,-3.1792,0.001515,0.00505
STD10,10D,-0.0122,-1.9422,0.052351,0.109065
STD10,20D,-0.0186,-2.1465,0.032042,0.080105
STD20,1D,-0.0126,-4.5729,5e-06,5e-05
STD20,3D,-0.0177,-4.541,6e-06,5e-05
STD20,5D,-0.0165,-3.333,0.000886,0.003408
STD20,10D,-0.0159,-2.2781,0.022901,0.060266
STD20,20D,-0.0209,-2.0849,0.037296,0.084764
STD30,1D,-0.0137,-4.871,1e-06,2.5e-05
STD30,3D,-0.0183,-4.5768,5e-06,5e-05
STD30,5D,-0.0168,-3.2946,0.001015,0.003625
STD30,10D,-0.0149,-2.0095,0.04472,0.097217
STD30,20D,-0.0229,-2.0976,0.036163,0.084764
STD60,1D,-0.0134,-4.5068,7e-06,5e-05
STD60,3D,-0.018,-4.1299,3.9e-05,0.000217
STD60,5D,-0.0171,-3.0399,0.002421,0.007121
STD60,10D,-0.0149,-1.8492,0.064694,0.119804
STD60,20D,-0.0209,-1.8532,0.064123,0.119804
STD120,1D,-0.0127,-4.2126,2.7e-05,0.000169
STD120,3D,-0.0162,-3.6435,0.000282,0.001175
STD120,5D,-0.0155,-2.7441,0.00617,0.017139
STD120,10D,-0.0119,-1.4731,0.141034,0.235057
STD120,20D,-0.0151,-1.3418,0.179967,0.274318
