factor_name,raw_rank_ic,orthogonalized_rank_ic,delta_rank_ic,successful_cross_sections,failed_cross_sections,status
ROC10,-0.0104,-0.0093,0.0011,1149,38,REAL_CALCULATED
MAX_RATIO_10,-0.0046,-0.0136,-0.009,1149,38,REAL_CALCULATED
MIN_RATIO_10,0.0091,0.0057,-0.0034,1149,38,REAL_CALCULATED
MA_RATIO_10,0.0081,0.0077,-0.0004,1149,38,REAL_CALCULATED
ROC20,-0.0121,-0.0067,0.0054,1149,38,REAL_CALCULATED
MAX_RATIO_20,-0.0027,-0.0065,-0.0038,1149,38,REAL_CALCULATED
MIN_RATIO_20,0.0104,0.0005,-0.0099,1149,38,REAL_CALCULATED
MA_RATIO_20,0.0105,0.0029,-0.0076,1149,38,REAL_CALCULATED
ROC30,-0.0155,-0.0101,0.0054,1149,38,REAL_CALCULATED
MAX_RATIO_30,0.0006,-0.0002,-0.0008,1149,38,REAL_CALCULATED
