factor_name,raw_rank_ic,neutralized_rank_ic,delta_rank_ic,total_dates,successful_dates,failed_dates,mean_cross_section_size,min_cross_section_size,max_cross_section_size,status
ROC10,-0.0104,-0.0107,-0.0003,1187,1156,31,294.2,278,300,REAL_CALCULATED
MAX_RATIO_10,-0.0046,-0.0038,0.0008,1187,1157,30,294.2,278,300,REAL_CALCULATED
MIN_RATIO_10,0.0091,0.0095,0.0004,1187,1157,30,294.2,278,300,REAL_CALCULATED
MA_RATIO_10,0.0081,0.0086,0.0005,1187,1157,30,294.2,278,300,REAL_CALCULATED
ROC20,-0.0121,-0.0122,-0.0001,1187,1146,41,294.1,278,300,REAL_CALCULATED
MAX_RATIO_20,-0.0027,-0.002,0.0007,1187,1147,40,294.1,278,300,REAL_CALCULATED
MIN_RATIO_20,0.0104,0.0107,0.0003,1187,1147,40,294.1,278,300,REAL_CALCULATED
MA_RATIO_20,0.0105,0.011,0.0005,1187,1147,40,294.1,278,300,REAL_CALCULATED
ROC30,-0.0155,-0.0155,0.0,1187,1136,51,294.1,277,300,REAL_CALCULATED
MAX_RATIO_30,0.0006,0.0009,0.0003,1187,1137,50,294.1,277,300,REAL_CALCULATED
