factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
ROC30,-0.0032,0.0993,-0.0326,-0.1158,0.4912,-1.0994,-0.3423,0.271811,0.732225,0.208126
MIN_RATIO_20,-0.0092,0.0911,-0.1012,-0.3591,0.4359,-3.426,-1.1079,0.000634,0.268151,0.285791
ROC20,-0.0012,0.0961,-0.013,-0.0462,0.4965,-0.4404,-0.1431,0.659716,0.886238,0.262587
MA_RATIO_20,0.0016,0.0982,0.0162,0.0575,0.5031,0.5483,0.1936,0.583619,0.846555,0.285791
ROC10,-0.0012,0.0962,-0.0127,-0.0452,0.4836,-0.4325,-0.1672,0.665434,0.867267,0.262587
MIN_RATIO_10,-0.0072,0.0851,-0.0842,-0.2989,0.4762,-2.8646,-1.0547,0.00425,0.291765,0.262587
MA_RATIO_10,0.0014,0.094,0.0149,0.053,0.522,0.508,0.2186,0.611546,0.826985,0.285791
MAX_RATIO_10,0.0057,0.0877,0.0646,0.2292,0.5186,2.1962,0.9086,0.028278,0.363747,0.567622
MAX_RATIO_30,0.0066,0.08,0.082,0.2912,0.504,2.7667,0.9682,0.005755,0.333147,0.941109
MAX_RATIO_20,0.007,0.0849,0.0823,0.2923,0.5126,2.7884,0.9707,0.005384,0.331888,0.78311
