factor_name,monotonicity_score,Q1,Q2,Q3,Q4,Q5
ROC10,-0.1,0.01369,0.008608,0.006934,0.008735,0.013367
MAX_RATIO_10,0.3,0.01126,0.00957,0.008119,0.009839,0.012505
MIN_RATIO_10,-0.3,0.013372,0.010379,0.007774,0.008789,0.011045
MA_RATIO_10,0.3,0.012692,0.008973,0.007393,0.00907,0.013185
ROC20,-0.1,0.014263,0.007551,0.006219,0.009352,0.013653
MAX_RATIO_20,0.1,0.011606,0.010006,0.007708,0.008344,0.013378
MIN_RATIO_20,-0.6,0.013171,0.011136,0.007948,0.008451,0.010425
MA_RATIO_20,0.1,0.013334,0.008944,0.007369,0.007413,0.014019
ROC30,-0.1,0.013076,0.007875,0.007062,0.009915,0.013072
MAX_RATIO_30,0.1,0.011512,0.009838,0.007155,0.009728,0.012773
