factor_name,long_turnover,long_gross_return,long_sharpe,5bps,10bps,20bps,30bps
ROC10,0.2442,0.003209,2.3933,1.017652,0.897544,0.678277,0.484258
MAX_RATIO_10,0.3239,0.001773,1.1933,0.388824,0.280085,0.087396,-0.076386
MIN_RATIO_10,0.3144,0.002398,1.7519,0.626586,0.502876,0.28287,0.094962
MA_RATIO_10,0.2916,0.003195,2.3102,0.986005,0.845606,0.593781,0.376198
ROC20,0.1735,0.003193,2.4201,1.042155,0.955024,0.791717,0.642001
MAX_RATIO_20,0.2261,0.002032,1.5865,0.520421,0.436329,0.28179,0.14382
MIN_RATIO_20,0.2188,0.002326,1.8081,0.635921,0.548288,0.386803,0.242101
MA_RATIO_20,0.2013,0.003356,2.5271,1.113088,1.008818,0.815405,0.640547
ROC30,0.1442,0.002483,1.9324,0.725796,0.664335,0.547877,0.439537
MAX_RATIO_30,0.1505,0.003257,2.4425,1.08239,1.005092,0.858966,0.72345
