factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
ROC10,1D,-0.0085,-3.2437,0.001213,0.010108
ROC10,3D,-0.0086,-2.2835,0.022579,0.086915
ROC10,5D,-0.0055,-1.184,0.236659,0.358574
ROC10,10D,-0.0041,-0.6781,0.497815,0.578855
ROC10,20D,-0.0104,-1.5363,0.124742,0.262587
MAX_RATIO_10,1D,0.0018,0.682,0.495344,0.578855
MAX_RATIO_10,3D,-0.0026,-0.7488,0.454098,0.567622
MAX_RATIO_10,5D,-0.0041,-0.9882,0.323282,0.436868
MAX_RATIO_10,10D,-0.0038,-0.7226,0.470042,0.573222
MAX_RATIO_10,20D,-0.0046,-0.765,0.444443,0.567622
MIN_RATIO_10,1D,0.0141,5.8321,0.0,0.0
MIN_RATIO_10,3D,0.0118,3.6237,0.000303,0.00367
MIN_RATIO_10,5D,0.0087,2.2418,0.025163,0.086977
MIN_RATIO_10,10D,0.0061,1.2856,0.198839,0.331398
MIN_RATIO_10,20D,0.0091,1.5334,0.12545,0.262587
MA_RATIO_10,1D,0.0117,4.5483,6e-06,0.00015
MA_RATIO_10,3D,0.0096,2.6853,0.00735,0.045937
MA_RATIO_10,5D,0.0077,1.8086,0.070763,0.208126
MA_RATIO_10,10D,0.0056,1.0386,0.299211,0.415571
MA_RATIO_10,20D,0.0081,1.3868,0.165759,0.285791
ROC20,1D,-0.0072,-2.6227,0.008837,0.049094
ROC20,3D,-0.0092,-2.2997,0.021643,0.086915
ROC20,5D,-0.0082,-1.6512,0.098972,0.244276
ROC20,10D,-0.0109,-1.6746,0.094286,0.244276
ROC20,20D,-0.0121,-1.531,0.126042,0.262587
MAX_RATIO_20,1D,0.0034,1.2548,0.209797,0.333077
MAX_RATIO_20,3D,0.0005,0.1265,0.899331,0.917685
MAX_RATIO_20,5D,-0.0018,-0.3776,0.705771,0.78311
MAX_RATIO_20,10D,-0.0015,-0.2367,0.812948,0.846821
MAX_RATIO_20,20D,-0.0027,-0.3579,0.720461,0.78311
MIN_RATIO_20,1D,0.0095,3.7742,0.000169,0.002817
MIN_RATIO_20,3D,0.0098,2.8402,0.004587,0.032764
MIN_RATIO_20,5D,0.0069,1.6337,0.102596,0.244276
MIN_RATIO_20,10D,0.0062,1.107,0.268519,0.383599
MIN_RATIO_20,20D,0.0104,1.392,0.164207,0.285791
MA_RATIO_20,1D,0.0098,3.5731,0.000367,0.00367
MA_RATIO_20,3D,0.0098,2.4842,0.013123,0.065615
MA_RATIO_20,5D,0.0073,1.4946,0.135278,0.270556
MA_RATIO_20,10D,0.0072,1.1101,0.267191,0.383599
MA_RATIO_20,20D,0.0105,1.3942,0.163526,0.285791
ROC30,1D,-0.0064,-2.2277,0.026093,0.086977
ROC30,3D,-0.0093,-2.2832,0.022598,0.086915
ROC30,5D,-0.0084,-1.6785,0.093517,0.244276
ROC30,10D,-0.0094,-1.4296,0.153107,0.285791
ROC30,20D,-0.0155,-1.8104,0.070491,0.208126
MAX_RATIO_30,1D,0.0035,1.2456,0.213169,0.333077
MAX_RATIO_30,3D,0.0034,0.8516,0.394604,0.519216
MAX_RATIO_30,5D,0.0026,0.5125,0.608374,0.691334
MAX_RATIO_30,10D,0.002,0.3065,0.759263,0.807727
MAX_RATIO_30,20D,0.0006,0.0739,0.941109,0.941109
