signal_date,entry_date,entry_price_type,earliest_exit_date,actual_exit_date,exit_delay_days,exit_attempt_count,exit_status,exit_price_type,requested_long_count,executed_long_count,rejected_long_count,long_gross_return,benchmark_return,long_excess_return,entry_commission,exit_commission,stamp_duty,slippage,total_cost,long_net_return,factor_diagnostic_spread,long_turnover,short_turnover,gross_turnover,long_equity_curve,bench_equity_curve
2021-11-17,2021-11-18,open,2021-11-19,2021-12-02,5,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.018127879843149862,-0.0064679266136252744,0.024595806456775136,0.0003,0.0003,0.0005,0.0004,0.0015,0.01662787984314986,0.023070214260378284,1.0,1.0,1.0,1.0166278798431498,0.9935320733863747
2021-11-18,2021-11-19,open,2021-11-22,2021-12-03,6,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.036390594283646494,0.005157220729874901,0.031233373553771593,4.9090909090909104e-05,4.9090909090909104e-05,8.181818181818184e-05,6.545454545454548e-05,0.00024545454545454556,0.036145139738191945,0.021458344964665654,0.1636363636363637,1.0,0.5818181818181818,1.0533740366218223,0.9986559375910385
2021-11-19,2021-11-22,open,2021-11-23,2021-12-06,5,5,EXECUTED_ON_TIME,open,55,55,0,0.02372238950777825,0.0028682098334187334,0.020854179674359517,3.8181818181818194e-05,3.8181818181818194e-05,6.363636363636365e-05,5.090909090909093e-05,0.00019090909090909098,0.023531480416869158,0.00808694159258403,0.12727272727272732,1.0,0.5636363636363637,1.078161487136227,1.0015202923714392
2021-11-22,2021-11-23,open,2021-11-24,2021-12-07,5,6,EXECUTED_ON_TIME,open,55,55,0,0.014937921318584945,0.005109708813661573,0.009828212504923372,4.9090909090909104e-05,4.9090909090909104e-05,8.181818181818184e-05,6.545454545454548e-05,0.00024545454545454556,0.0146924667731304,0.014242033003364539,0.1636363636363637,1.0,0.5818181818181818,1.0940023389620448,1.0066377694364306
2021-11-23,2021-11-24,open,2021-11-25,2021-12-08,6,6,EXECUTED_ON_TIME,open,55,55,0,0.027048080510145765,0.004147107860823729,0.022900972649322036,4.9090909090909104e-05,4.9090909090909104e-05,8.181818181818184e-05,6.545454545454548e-05,0.00024545454545454556,0.02680262596469122,0.03428459109869534,0.1636363636363637,1.0,0.5818181818181818,1.1233244744577418,1.0108124048430625
2021-11-24,2021-11-25,open,2021-11-26,2021-12-09,6,6,EXECUTED_ON_TIME,open,55,55,0,0.024436862687037653,0.016894602780295864,0.007542259906741788,4.9090909090909104e-05,4.9090909090909104e-05,8.181818181818184e-05,6.545454545454548e-05,0.00024545454545454556,0.024191408141583107,0.027919653910327007,0.1636363636363637,1.0,0.5818181818181818,1.1504992752947782,1.0278896789082816
2021-11-25,2021-11-26,open,2021-11-29,2021-12-10,5,5,EXECUTED_ON_TIME,open,55,55,0,0.014378899864329662,0.032600279274279664,-0.01822137940995,5.999999999999998e-05,5.999999999999998e-05,9.999999999999998e-05,7.999999999999998e-05,0.0002999999999999999,0.014078899864329662,0.03037119084004245,0.19999999999999996,1.0,0.6,1.1666970393856373,1.0613991695038414
2021-11-26,2021-11-29,open,2021-11-30,2021-12-13,5,6,EXECUTED_ON_TIME,open,55,55,0,0.05379514442603059,0.05601985890056116,-0.0022247144745305703,5.4545454545454526e-05,5.4545454545454526e-05,9.090909090909089e-05,7.272727272727271e-05,0.0002727272727272727,0.05352241715330332,0.0287588828864524,0.18181818181818177,1.0,0.5909090909090908,1.2291414850191593,1.1208586012166193
2021-11-29,2021-11-30,open,2021-12-01,2021-12-14,4,5,UNEXECUTED_TIMEOUT,open,55,55,0,0.025121731119359298,0.04306343821099601,-0.01794170709163671,4.9090909090909104e-05,4.9090909090909104e-05,8.181818181818184e-05,6.545454545454548e-05,0.00024545454545454556,0.024876276573904753,0.029442104685944447,0.1636363636363637,1.0,0.5818181818181818,1.259717948548956,1.1691266263333746
2021-11-30,2021-12-01,open,2021-12-02,2021-12-15,5,6,EXECUTED_ON_TIME,open,55,55,0,0.03205344530873364,0.04230126147351476,-0.01024781616478112,4.363636363636365e-05,4.363636363636365e-05,7.272727272727276e-05,5.8181818181818206e-05,0.00021818181818181827,0.031835263490551824,0.036524520898358045,0.1454545454545455,1.0,0.5727272727272728,1.2998214013647895,1.2185821574495508
