factor_name,best_horizon,half_life_days,1D,3D,5D,10D,20D
ROC10,20D,,-0.0085,-0.0086,-0.0055,-0.0041,-0.0104
MAX_RATIO_10,20D,,0.0018,-0.0026,-0.0041,-0.0038,-0.0046
MIN_RATIO_10,1D,32.1,0.0141,0.0118,0.0087,0.0061,0.0091
MA_RATIO_10,1D,40.1,0.0117,0.0096,0.0077,0.0056,0.0081
ROC20,20D,,-0.0072,-0.0092,-0.0082,-0.0109,-0.0121
MAX_RATIO_20,1D,,0.0034,0.0005,-0.0018,-0.0015,-0.0027
MIN_RATIO_20,20D,,0.0095,0.0098,0.0069,0.0062,0.0104
MA_RATIO_20,20D,,0.0098,0.0098,0.0073,0.0072,0.0105
ROC30,20D,,-0.0064,-0.0093,-0.0084,-0.0094,-0.0155
MAX_RATIO_30,1D,,0.0035,0.0034,0.0026,0.002,0.0006
