factor_name,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,positive_rank_ic_ratio,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,recommended_direction
ROC30,-0.0155,0.0888,-0.1751,-0.6214,0.4331,-5.9007,-1.8104,0.0,0.070491,0.208126,-1
MIN_RATIO_20,0.0104,0.0833,0.1251,0.4439,0.5379,4.2353,1.392,2.5e-05,0.164207,0.285791,1
ROC20,-0.0121,0.086,-0.1408,-0.4997,0.4494,-4.7659,-1.531,2e-06,0.126042,0.262587,-1
MA_RATIO_20,0.0105,0.088,0.1189,0.4221,0.5257,4.0275,1.3942,6e-05,0.163526,0.285791,1
ROC10,-0.0104,0.087,-0.1195,-0.4241,0.4697,-4.0627,-1.5363,5.2e-05,0.124742,0.262587,-1
MIN_RATIO_10,0.0091,0.0778,0.1171,0.4157,0.5428,3.9837,1.5334,7.2e-05,0.12545,0.262587,1
MA_RATIO_10,0.0081,0.0838,0.0968,0.3437,0.535,3.2934,1.3868,0.00102,0.165759,0.285791,1
MAX_RATIO_10,-0.0046,0.0843,-0.0546,-0.1938,0.4685,-1.8569,-0.765,0.063587,0.444443,0.567622,-1
MAX_RATIO_30,0.0006,0.0849,0.0069,0.0244,0.4925,0.2319,0.0739,0.816658,0.941109,0.941109,1
MAX_RATIO_20,-0.0027,0.0853,-0.0318,-0.113,0.4821,-1.0779,-0.3579,0.28131,0.720461,0.78311,-1
