model_id,fold,feature,importance,importance_pct
lightgbm_clf_baseline,1,AMIHUD_20,23433.281943559647,11.097922808194319
lightgbm_clf_baseline,1,STD250,15459.443220853806,7.321539848149687
lightgbm_clf_baseline,1,LOG_CIRC_MV,10985.29680633545,5.202599289141442
lightgbm_clf_baseline,1,MOM_ACC_20_60,9939.634919643402,4.70737736803241
lightgbm_clf_baseline,1,VSTD_60,8095.397113323212,3.83395260133556
lightgbm_clf_baseline,1,STD120,8082.364615261555,3.8277804544790266
lightgbm_clf_baseline,1,MIN_RATIO_250,7066.224262237549,3.3465398315345696
lightgbm_clf_baseline,1,MIN_RATIO_120,6718.955170631409,3.182074368199165
lightgbm_clf_baseline,1,MOM_ACC_60_120,6587.001304149628,3.119581464815648
lightgbm_clf_baseline,1,ROC120,6509.56591463089,3.082908327114695
lightgbm_clf_baseline,2,AMIHUD_20,18713.043237686157,14.87336669605579
lightgbm_clf_baseline,2,STD250,12563.834558486938,9.985896795269749
lightgbm_clf_baseline,2,LOG_CIRC_MV,7763.673480272293,6.17066722466524
lightgbm_clf_baseline,2,STD120,6110.71209859848,4.856872324937665
lightgbm_clf_baseline,2,MOM_ACC_60_120,4700.779319763184,3.7362396747563227
lightgbm_clf_baseline,2,MAX_RATIO_120,4499.0466957092285,3.5758999986276714
lightgbm_clf_baseline,2,VSTD_60,4197.60347366333,3.3363090607678183
lightgbm_clf_baseline,2,MIN_RATIO_250,4134.818212509155,3.286406530196359
lightgbm_clf_baseline,2,MOM_ACC_20_60,3715.5633087158203,2.95317735715198
lightgbm_clf_baseline,2,ROC_STD_250,3474.260850906372,2.7613870698067546
lightgbm_clf_baseline,3,AMIHUD_20,9569.10551071167,17.511896508965137
lightgbm_clf_baseline,3,STD250,3797.1001291275024,6.9488652226715475
lightgbm_clf_baseline,3,LOG_CIRC_MV,3645.0010414123535,6.670517002956118
lightgbm_clf_baseline,3,AMIHUD_20_LN,2472.810775756836,4.525355723461654
lightgbm_clf_baseline,3,ROC250,2307.2282915115356,4.222332277377257
lightgbm_clf_baseline,3,STD120,1905.422206878662,3.487008943039807
