,lightgbm_clf_baseline,double_ensemble,lightgbm_ranker,lightgbm_reg_baseline
2023-07-03,0.2767657314872812,0.2718578663452011,0.25847405783568944,0.2139448425193666
2023-07-04,0.3074551029756842,0.2933141623050382,0.27703192484629585,0.2184521652342127
2023-07-05,0.3162724561184899,0.2768528683048598,0.30442442467042846,0.2246524781819496
2023-07-06,0.3447511849448896,0.28594619974997737,0.29770104506091605,0.25647053192381747
2023-07-07,0.24525507866912227,0.22386140954504039,0.23861995159223132,0.15627028503158177
2023-07-10,0.17711938661442486,0.1809625009042043,0.17885712376045695,0.08475578714459005
2023-07-11,0.24415617014548702,0.23236177912006648,0.22208109548535498,0.16124595520429144
2023-07-12,0.2337080868057556,0.21129592161317595,0.17810754857617053,0.16013873377609697
2023-07-13,0.2843561898010843,0.27579566915345666,0.2467129865114773,0.19716740381295433
2023-07-14,0.31505669684154275,0.31409116139926496,0.30135239818966325,0.22268812305452315
2023-07-17,0.2866243467315093,0.23282394666573178,0.211828508240243,0.15243364979012045
2023-07-18,0.295078656861307,0.2143301705970523,0.1772799741244056,0.14632451965630705
2023-07-19,0.3389706281906241,0.2654729487643099,0.23259409946747725,0.17935084133542561
2023-07-20,0.24002162350654474,0.19064514568407223,0.13073386025878694,0.11775308518453875
2023-07-21,0.2780960808118505,0.20433804401568428,0.16428091472557904,0.1280650352004907
2023-07-24,0.2717658884903495,0.21197017068943752,0.14532598991416257,0.05699706874915082
2023-07-25,0.1622601274832723,0.15174683588088753,0.061995286379493704,-0.003949166700642479
2023-07-26,0.23279825385358424,0.14341365641124285,0.07538509684377696,0.0010296005762915885
2023-07-27,0.09859656433639567,0.07296180571704958,0.04970271066218906,-0.07015717458989118
2023-07-28,0.16497192650209136,0.12606931393296222,0.10873768073474642,-0.03285043757111699
2023-07-31,0.09071588125069578,0.07709721418494882,0.07573091774992616,-0.05160016747851775
2023-08-01,0.01376569730984727,0.010851250181861768,0.02451747193007102,-0.05307977547780774
2023-08-02,-0.010542972428759926,-0.031047195752801987,-0.01411795831605902,-0.06855529769948836
2023-08-03,0.003142558352407581,0.003251937893455234,0.026722821253989885,-0.07070532973767706
2023-08-04,0.08972908580790001,0.033511974897863,0.06449163389503564,-0.00372829430978168
2023-08-07,0.08813843902253014,0.03679454691315475,0.05194548104949572,-0.0010366505437626697
2023-08-08,0.11515043829300058,0.09338654993347988,0.12323189510534242,0.0800361225663142
2023-08-09,0.08658668373767074,0.088644628051378,0.09923678692461564,0.029421155326781332
2023-08-10,0.08702486234595928,0.08732311077940698,0.10752932714369609,0.003649595067231327
2023-08-11,0.08764260365077897,0.06108430912672041,0.07902792944606142,0.029704959652226456
2023-08-14,0.04278310057926548,0.04154652039389381,0.05246540337814982,-0.007289302855542
2023-08-15,0.07122716760217516,0.0839513244915226,0.10248633691808762,0.05171242681738125
2023-08-16,0.08612607343526578,0.08714778305064669,0.1464060008585153,0.12164844576731322
2023-08-17,0.13719375814879972,0.11307747254813615,0.15340625481291206,0.13765867601543455
2023-08-18,0.11645153237633606,0.10902804327520198,0.15872767806720778,0.14223674579533235
2023-08-21,0.09434959933156634,0.08882346646924798,0.11257944669405696,0.1488153794916159
2023-08-22,0.11859594571458978,0.15033484193047134,0.17576320685283203,0.19940543476689543
2023-08-23,0.0812485829434982,0.13248641504743572,0.11659411110300108,0.1870269008002764
2023-08-24,0.1555093742680002,0.19790182852555388,0.18043252008672994,0.2502726396055395
2023-08-25,0.09865582068971898,0.14643182776733082,0.09704530308627946,0.16422655288454607
2023-08-28,0.12721977614435148,0.1231934696476303,0.1339762112349967,0.08966781006976986
2023-08-29,0.136007047129385,0.1590813472230724,0.13596133284312084,0.07483217078407578
