factor_name,best_horizon,half_life_days,1D,3D,5D,10D,20D
KMID,1D,12.6,0.0312,0.0247,0.0074,-0.0034,-0.0108
KLEN,20D,,0.0127,0.0111,0.0104,0.0195,0.0248
KMID2,1D,8.3,0.0315,0.0282,0.0136,0.0051,0.0071
