factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
KLEN,0.0307,0.5206,0.0589,0.2092,0.5157,1.7585,1.8678,0.07901,0.062118,0.425817
KMID,-0.0095,0.497,-0.0191,-0.0678,0.482,-0.5695,-0.5492,0.569156,0.583035,0.733286
KMID2,0.0078,0.499,0.0155,0.0551,0.4989,0.4633,0.4621,0.643238,0.644143,0.768059
