,KMID,KLEN,KMID2,KUP,KLOW,KSFT,ROC5,MAX_RATIO_5,MIN_RATIO_5,MA_RATIO_5,ROC10,MAX_RATIO_10,MIN_RATIO_10,MA_RATIO_10,ROC20,MAX_RATIO_20,MIN_RATIO_20,MA_RATIO_20,ROC30,MAX_RATIO_30,MIN_RATIO_30,MA_RATIO_30,ROC60,MAX_RATIO_60,MIN_RATIO_60,MA_RATIO_60,ROC120,MAX_RATIO_120,MIN_RATIO_120,MA_RATIO_120,ROC250,MAX_RATIO_250,MIN_RATIO_250,MA_RATIO_250,STD5,STD10,STD20,STD30,STD60,STD120,STD250,ATR_RATIO_5,ATR_RATIO_20,ATR_RATIO_60,ROC_STD_20,ROC_STD_60,ROC_STD_120,ROC_STD_250,MOM_ACC_20_60,MOM_ACC_60_120,VMA_RATIO_5,VSTD_5,VMA_RATIO_10,VSTD_10,VMA_RATIO_20,VSTD_20,VMA_RATIO_60,VSTD_60,CORR_PV_5,WVMA_5,CORR_PV_10,WVMA_10,CORR_PV_20,WVMA_20,TURNOVER_SURGE_5,TURNOVER_SURGE_20,TURNOVER_STD_20,AMOUNT_RATIO_5_20,LIMIT_UP_SPACE,IS_LIMIT_UP_LAG1,IS_LIMIT_DOWN_LAG1,UPPER_SHADOW_RATIO,LOWER_SHADOW_RATIO,ENTITY_RATIO,INTRADAY_CLOSE_LOC,LOG_CIRC_MV,EFFICIENCY_RATIO_10,AMIHUD_20,AMIHUD_20_LN
ROC120,0.07617693528866386,0.34930859566020417,0.09553713830219991,0.23240899966261236,0.29528524535775086,0.05829719259094928,0.23272239114734036,-0.04963597255097277,-0.24305368953282605,-0.17517208065800177,0.355184580073654,-0.12440385268225787,-0.34294775759475443,-0.27172454598967755,0.48877180995741576,-0.23836040523921836,-0.447241328206516,-0.40115827488822653,0.623266904017289,-0.31116766783182703,-0.5199608889003973,-0.5101896160206305,0.8099992679348137,-0.4960099037752111,-0.671332259168515,-0.7341986855983024,1.0,-0.6303159072221343,-0.7835517255843305,-0.9088454493399699,0.7327740954401963,-0.7479270657505759,-0.7272818298805607,-0.9372355929695602,0.29979470326410634,0.30019176363903255,0.2923614030742667,0.275284367613856,0.2376213844226363,0.1918501196033106,0.11850944436945135,0.3394294354966646,0.29776247165661407,0.16001718960725808,0.5286065972439552,0.8157977848593116,0.9756483300658817,0.7018901105934304,0.7618766398225333,0.863222532078029,-0.06710555967044575,-0.1762790529255379,-0.062371949381953194,-0.2195799362203938,-0.05250885835484547,-0.20737468241558624,-0.17432968878510283,-0.21213608255867358,0.07929317017030488,0.2849556242682153,0.19857126528448588,0.2841474198340711,0.27448835463813165,0.2769107660508283,0.044577582543661155,0.03261014808790449,0.31946945562962287,0.10930927834683288,0.05452115520556462,-0.055305972262140325,-0.1016788843418557,-0.0019555312521369063,0.03729761472876225,-0.038008160752349925,0.11243261374413266,0.20902428400473036,-0.056503063878190325,0.0,0.0
MAX_RATIO_120,-0.18281170613103864,0.1555398010577911,-0.1804464919674476,0.11562082733871788,0.027527410111984302,-0.21546772728916083,-0.3959781484262557,0.3756133781335399,0.19836107315258186,0.3436544853064982,-0.5407775987324407,0.5171855355529451,0.2479511108450864,0.46591742874205305,-0.6483662122079372,0.7137454032764327,0.321151001472118,0.6151995575887202,-0.6679855022804168,0.7975516682203182,0.340137224189397,0.674955000947593,-0.6953646292203544,0.9254922532445471,0.3474277057070677,0.745302225938658,-0.6303159072221343,1.0,0.32436644154876965,0.741205469635062,-0.4175480369144329,0.9185104283007723,0.22941746086000345,0.6218161215586165,0.20120027756661166,0.244581343136678,0.2989056253556686,0.33337476863605153,0.3958925139955542,0.4375737097445665,0.46752854719199655,0.2134669734103828,0.32456369463131307,0.49070241600035946,-0.626399964669781,-0.6702678675082132,-0.6025578328535486,-0.4169761769496447,-0.6457115024411575,-0.5132945760788175,0.06257605816982251,0.02187147334457278,0.11656117758472999,0.04011093106637031,0.19066089318720145,0.08132738432420955,0.2836725227148517,0.1712059413429387,0.004213042480952501,0.18804994337539413,-0.0462481847379479,0.20396470103326814,-0.06735670978592158,0.2349537579210167,-0.07492355451161328,-0.2145881998657448,0.21464178811082665,-0.35512875969862295,0.29105609192158893,-0.07774283567265038,0.034702749674942905,0.03088121621058061,-0.11310297329529066,0.04902115842182554,-0.22708525651401432,-0.47214621994471095,0.06645168490715168,0.0,0.0
MIN_RATIO_120,-0.06465699087278284,-0.6849831235799375,-0.07850258950842764,-0.49088329454892776,-0.4785383800499548,0.002172896545067364,-0.2717603270155215,-0.05939561751854647,0.392654631145572,0.1900713130586895,-0.4214247191832492,0.012089008133662022,0.5760209475623616,0.32656678830018154,-0.5405025256993443,0.08447234171173781,0.7221582822859741,0.46503919020085077,-0.6602244629708447,0.13014108234434357,0.8019435241680446,0.57094202553854,-0.743532181286623,0.2781766989774028,0.9329860612019019,0.7427090408593178,-0.7835517255843305,0.32436644154876965,1.0,0.815072016246672,-0.6471063987144238,0.39885077222893284,0.878919782544451,0.7909569123128677,-0.6421377377296008,-0.6682785599261228,-0.6777562303725092,-0.6746913240448842,-0.6526572223015836,-0.6121257786886672,-0.5516520135480152,-0.7069104815750444,-0.6766655788997734,-0.5530068096817353,-0.5929567229531818,-0.7760360255077374,-0.7914071930873978,-0.6186619113701208,-0.7212089947892084,-0.6590711873303229,0.05679197115481832,0.11772798520925853,0.07164466736317826,0.13108060054564089,0.07363801307657657,0.09630170221761286,0.26824807740293083,0.11642566893805618,-0.3031448335602683,-0.6176154305819739,-0.4096764557008072,-0.6464621048017422,-0.4433752384534906,-0.6509989363096392,-0.015078489095266885,-0.025953950015636454,-0.6916329103740536,-0.1367657417294875,-0.26200336043414757,0.14373962319857,0.12088787959436688,-0.036483571421892416,0.061795232097975314,0.006172750946792784,-0.04758223175585593,0.02225846305766055,0.04060950389703992,0.0,0.0
MA_RATIO_120,-0.11199816433460287,-0.34584374043451843,-0.12529494042416875,-0.23905828980525073,-0.29067956799680195,-0.09224781641624737,-0.3364340417594838,0.12310592043887111,0.3065289851805818,0.25250873988497474,-0.5146319368271463,0.2278182760921671,0.45131833262963195,0.40049718271429463,-0.6566388064477189,0.3688029744797321,0.5794480648657586,0.5734472967034895,-0.7939411311677118,0.4450207628580693,0.6532796377163272,0.6926186106004616,-0.9349300309938123,0.6374047808383297,0.7847007030944644,0.9036807059898777,-0.9088454493399699,0.741205469635062,0.815072016246672,1.0,-0.6130712559257914,0.7633642319376684,0.6569453901987133,0.8819194269852767,-0.2947948658761314,-0.291774947810821,-0.27519893693012526,-0.2578586758018208,-0.20721499456639927,-0.14187789479568902,-0.07814552641077069,-0.331060032848685,-0.259664333601723,-0.08241629142564076,-0.6750719905576631,-0.919678061182564,-0.87679129678531,-0.5765280262096188,-0.8828602565159298,-0.8071310864072125,0.05255743526150139,0.09400222048770827,0.0758621765028702,0.10538504110860404,0.10153126683915425,0.07988199999929597,0.2765770748719942,0.06348387489069549,-0.19896570732930788,-0.28532892155848094,-0.33193824719975523,-0.2944316438729271,-0.40524318520433583,-0.2886845960167038,-0.03147595006183682,-0.08396481746727188,-0.3330262914297169,-0.22345581331765269,-0.04822539909126013,0.0497990478176695,0.11667101123070277,-0.0031050572080871526,-0.034782395750618644,0.037792664437366404,-0.1376705691424746,-0.22488584701547515,0.07006192273888107,0.0,0.0
ROC250,0.08237932390275027,0.4074160348996647,0.1006407055846709,0.2927087131818747,0.31977498297870577,0.0563265945566666,0.22162033870231143,-0.0025421386370981383,-0.280074802237067,-0.16900665188967173,0.2957061984931129,-0.08011357360195455,-0.36514063669233815,-0.24825583381080985,0.4016267294736512,-0.17175382000712788,-0.4615397076852983,-0.34646776121320194,0.4570974964517921,-0.23200900618250675,-0.4916968408075304,-0.4108557160481293,0.5199504839346383,-0.3780785942355099,-0.5676558916263479,-0.5386822394221054,0.7327740954401963,-0.4175480369144329,-0.6471063987144238,-0.6130712559257914,1.0,-0.62480214408754,-0.8459630446309317,-0.8736877473334581,0.37135546296369615,0.3653691785356788,0.35043740094178516,0.3261014422495099,0.2832461267575676,0.2940757424659403,0.2694059895711118,0.40720042348504826,0.36609113204969096,0.2684411877766276,0.4577791062073573,0.6038702352974812,0.7766969358799974,0.9863787874179829,0.5231450763893192,0.5391554383762124,-0.031266376909004454,-0.15952577210880953,-0.0473063744168168,-0.27204471504999594,-0.042064655577859954,-0.3427849364651699,-0.12968773120106603,-0.450623544726908,-0.019589443206918904,0.35836154541883675,-0.023482143761724823,0.35346202737301485,0.029630504684988984,0.33394778702910277,0.019086214199639476,0.025938789518478028,0.33834626399606405,0.11738409629504634,0.02014962500743071,-0.020827725323653897,-0.05618027091999846,0.018355037630409785,0.01286226044033078,-0.04277509719546254,0.10084825776833344,0.27728193093726294,-0.05068276374538695,0.0,0.0
MAX_RATIO_250,-0.16511037145223129,0.0837179522276327,-0.16379353147943415,0.06866857177401722,-0.03291441722352093,-0.19945112414618904,-0.3468748902763313,0.3044181653632778,0.18853279244648444,0.2996714610292967,-0.4678718744187944,0.4213592092303966,0.2296200087717952,0.4003335478364719,-0.5817734596226474,0.5914529912711087,0.3076177474472623,0.5346055570538524,-0.6232289242566234,0.6785504830089808,0.3355792186888004,0.6017388350263797,-0.6871816990734508,0.8215634217974728,0.37312217129528064,0.7121612361365431,-0.7479270657505759,0.9185104283007723,0.39885077222893284,0.7633642319376684,-0.62480214408754,1.0,0.3905928451393788,0.7718509978876937,0.13403921210399428,0.17145920830851563,0.21184748882141685,0.24468520670948052,0.3096872025843863,0.3367865808341833,0.3800847536283586,0.13452264976608364,0.22575111392072106,0.3756840019187053,-0.5742699493457891,-0.6837418007824354,-0.7278761467356402,-0.6214554101750495,-0.6450789466877794,-0.6076656249154583,0.05123980092335247,0.056854968043800636,0.08953878348900951,0.12059683003444192,0.12941470918891682,0.1788329691188513,0.21039845726263684,0.26074832115928115,0.08160447068869744,0.12723307814725532,0.03818136691732126,0.14778739092872728,-0.007384477917396061,0.1728780962604776,-0.06341872596578266,-0.15166586315446481,0.16516023813904718,-0.2721661393266544,0.26819688723887736,-0.07381237432928894,0.04566771343576979,0.02759889962811185,-0.1194116908252178,0.057420633317518614,-0.21197868203152626,-0.5165704655041137,0.06874065366053167,0.0,0.0
MIN_RATIO_250,-0.040659631212156065,-0.6834637418648645,-0.060377091876852015,-0.4831096916358153,-0.5004122975401002,0.016070191315772555,-0.1985217642532933,-0.11856333031458365,0.34374782673103893,0.13023878166601396,-0.2952925833785504,-0.058382833292177964,0.48942818670281024,0.23196705781872767,-0.40888538624676063,-0.0014404951104132788,0.6113320578983017,0.33588488998617916,-0.5033490020234967,0.045666959091527556,0.6739076955492951,0.422808873460344,-0.5748533959236622,0.1998908931485415,0.781692732670556,0.5779223025399677,-0.7272818298805607,0.22941746086000345,0.878919782544451,0.6569453901987133,-0.8459630446309317,0.3905928451393788,1.0,0.8351933673764799,-0.6477750930333548,-0.6671472339256054,-0.6705066507773828,-0.6606737729503985,-0.636317539313479,-0.6490084325480934,-0.6176576889304173,-0.7115849987935505,-0.6925560821105987,-0.604298272922212,-0.4696329047708937,-0.6466967040912515,-0.7617883756027274,-0.8275774921552109,-0.5808411389281126,-0.5732766475027381,0.0349793922349861,0.18809937490999865,0.047420503942677834,0.2582635813453475,0.03933739229235776,0.2635642871384915,0.17772181225917807,0.34362027629746517,-0.1445485701870079,-0.6187083347849793,-0.18600059213513007,-0.6380103668955478,-0.22194062677910392,-0.6288822281836115,0.005838534435335654,0.011400006779340086,-0.6482072586590711,-0.08089132995638734,-0.2400270607308435,0.1208566165522852,0.08702147066127344,-0.03247036718585931,0.04133041679287854,0.02075828822153259,-0.03642654030705053,-0.02797092710871299,0.03419711363218508,0.0,0.0
MA_RATIO_250,-0.09564727938619082,-0.3957342404204134,-0.11552037313866675,-0.2709799615711508,-0.3340060066372657,-0.07585685786297434,-0.2698155698858372,0.05568549790337866,0.290371793222813,0.20565646494021553,-0.39388427338574306,0.14360710442604457,0.4010203674314433,0.31328697607955297,-0.526522697900264,0.26105298022759427,0.5118114897141727,0.44692514042178,-0.6469386778056703,0.3351668943250018,0.574879870936476,0.5493524972904008,-0.7889676948081318,0.5296567213795559,0.7013273282987897,0.7563625165836362,-0.9372355929695602,0.6218161215586165,0.7909569123128677,0.8819194269852767,-0.8736877473334581,0.7718509978876937,0.8351933673764799,1.0,-0.3478486264220161,-0.3440802153854761,-0.32990391299706356,-0.3097782694751576,-0.2629653624244197,-0.24099349366569772,-0.18782942432455943,-0.3882663048645268,-0.33867084608084386,-0.1974341513860721,-0.5709052124618366,-0.8223937395722074,-0.9372367637504075,-0.8456258343453545,-0.7614248730329727,-0.78340129264289,0.0505409160248402,0.1707433423350778,0.05883329349996963,0.24441886171654117,0.057337120496789136,0.2600191463033744,0.17828782533678578,0.2868467030086257,-0.07355274097717218,-0.33299896882625696,-0.15438697609935625,-0.3325297761500096,-0.23248479278705614,-0.3172381462441198,-0.028627903096399315,-0.03656867332872132,-0.3489216657095105,-0.1384898246319513,-0.04757277405794793,0.04493801355032034,0.09658992882080333,-0.00539807662048824,-0.03797633338566783,0.04631972254486547,-0.12809634868822317,-0.2630474693552986,0.07345583444993099,0.0,0.0
STD5,-0.06372513674840376,0.8552096465294147,-0.04632750249928576,0.5653466594710004,0.4686011867483417,-0.15691935825469733,0.07806163483933448,0.3244347634849273,-0.36832053885388544,-0.005711358842322535,0.11821731901402616,0.29849730492024906,-0.48935023175477826,-0.08663414780540579,0.1639858008898421,0.2984831098975108,-0.5369293819241194,-0.12453297473567172,0.24332618534352393,0.2848747555258269,-0.5792126177418859,-0.178948326788123,0.24162769030852413,0.21685424567774758,-0.6228033976846128,-0.2552792343275179,0.29979470326410634,0.20120027756661166,-0.6421377377296008,-0.2947948658761314,0.37135546296369615,0.13403921210399428,-0.6477750930333548,-0.3478486264220161,1.0,0.9328698540565827,0.90841373994254,0.8967099150867023,0.8671530210657247,0.8413859750336949,0.8110868787757095,0.9365711413850285,0.8840779408919807,0.819779561547132,0.22523986912967672,0.3131048253880887,0.3247214367907973,0.3322978335371425,0.26386451465555544,0.2430118463283044,0.0007329928144568844,0.011115158950132568,-0.07761977731566909,-0.0685650528699394,-0.10110473125756397,0.018226063208046067,-0.2520555315405478,0.008285769537126543,0.2834986097636159,0.9638071174956876,0.31874933530885413,0.9133181982364629,0.3462681588206667,0.8881486980738439,-0.04852296656220738,0.03289469271170833,0.8353927233398856,0.11420410164848999,0.4688785522925842,-0.1849941503429011,-0.07073049250436533,0.008182301902951212,-0.21661265907147692,0.10664895061665357,-0.11881433581803683,-0.36299901786103506,-0.0019796097606725642,0.0,0.0
STD10,-0.07720854834871368,0.8667533384401984,-0.058733899473065766,0.5902117365607513,0.4837307401611906,-0.1758552279730156,0.02158524849840266,0.3535581496459475,-0.3080033264013524,0.04093743206363634,0.10139035074632609,0.3651114529515587,-0.48023033604374393,-0.038443369018147926,0.154473385172859,0.3518800197187686,-0.548320423570373,-0.10288803094068644,0.23276607332826674,0.3405134622809882,-0.5914016426299794,-0.16210145579923074,0.2558052078545818,0.2644110472413958,-0.6488710205567564,-0.2505556433360216,0.30019176363903255,0.244581343136678,-0.6682785599261228,-0.291774947810821,0.3653691785356788,0.17145920830851563,-0.6671472339256054,-0.3440802153854761,0.9328698540565827,1.0,0.9685949176913256,0.9533212155113997,0.9262294901091895,0.8946486868582014,0.8620431028427804,0.9548974552722214,0.938820627265848,0.8694307065580601,0.2193758474421085,0.32933630852910983,0.3270865680681647,0.32613462075326466,0.2758348403410809,0.2537572091498512,0.009545701386482931,-0.051361224478506655,0.0003506366701455335,-0.03504164957524272,-0.04690077416549595,0.03967951614702052,-0.2271899704244835,0.04244644204017039,0.3162817576671165,0.8990175862623954,0.3503537917460961,0.9731406259447588,0.37739740214228046,0.9447379960140729,-0.061739016629879226,-0.0259942060725503,0.8916056882530518,0.046582478174681245,0.4945561009586934,-0.21450721067829906,-0.08321592504423837,0.03299024226377041,-0.20767377414113933,0.07757213005581737,-0.13412700947684636,-0.40135417964763764,0.001756253710423585,0.0,0.0
