factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
MIN_RATIO_5,-0.0058,0.1291,-0.0447,-0.1587,0.4851,-1.5329,-0.6262,0.125574,0.531322,0.128263
VSTD_5,-0.0033,0.0765,-0.0429,-0.1524,0.4689,-1.4715,-0.7215,0.141413,0.470756,0.209652
ROC_STD_20,0.01,0.136,0.0734,0.2607,0.5472,2.5173,0.7703,0.011958,0.441301,0.389609
ROC_STD_120,0.0018,0.1608,0.0114,0.0403,0.5455,0.3892,0.1114,0.697218,0.911295,0.545296
MA_RATIO_250,-0.0091,0.1886,-0.0484,-0.1718,0.4519,-1.6593,-0.463,0.097319,0.64347,0.535827
MOM_ACC_60_120,-0.0088,0.1592,-0.0553,-0.1962,0.4902,-1.8944,-0.5441,0.058417,0.586478,0.469881
MA_RATIO_10,-0.0041,0.1452,-0.0285,-0.1011,0.4698,-0.9761,-0.4013,0.329206,0.688285,0.511497
MAX_RATIO_10,0.0002,0.136,0.0018,0.0063,0.5047,0.0607,0.0244,0.951624,0.980506,0.446204
ROC250,0.0239,0.1972,0.121,0.4294,0.583,4.1468,1.1406,3.6e-05,0.254281,0.927232
TURNOVER_SURGE_5,0.0065,0.0911,0.0718,0.2549,0.5277,2.4616,2.9628,0.013974,0.00311,0.165338
ROC5,0.0028,0.1429,0.0196,0.0695,0.5174,0.6709,0.3148,0.502388,0.75296,0.469311
MAX_RATIO_250,-0.0026,0.1512,-0.0171,-0.0608,0.4791,-0.5869,-0.1665,0.55736,0.867793,0.742521
MAX_RATIO_5,0.0008,0.1295,0.0063,0.0223,0.5038,0.2155,0.107,0.829391,0.914787,0.25226
MAX_RATIO_60,0.0082,0.1391,0.0593,0.2104,0.497,2.032,0.6246,0.042382,0.532358,0.742951
VMA_RATIO_60,-0.0069,0.0961,-0.0716,-0.2543,0.4774,-2.4554,-0.9806,0.014219,0.327003,0.61254
KSFT,-0.006,0.1292,-0.0467,-0.1658,0.5013,-1.6009,-1.6206,0.109677,0.105377,0.654522
ENTITY_RATIO,-0.0014,0.0816,-0.0168,-0.0595,0.4783,-0.5743,-0.5673,0.565868,0.57062,0.813001
AMIHUD_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
AMIHUD_20_LN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MA_RATIO_5,-0.0022,0.1371,-0.0157,-0.0557,0.4757,-0.5381,-0.2952,0.590621,0.767857,0.654522
ALPHA_LIQUIDITY_X_VOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ALPHA_TURNOVER_SURPRISE_5_20,0.0066,0.0895,0.0732,0.2598,0.5302,2.5087,1.1225,0.012251,0.2619,0.838053
LOWER_SHADOW_RATIO,-0.0024,0.084,-0.0288,-0.1022,0.4877,-0.9865,-0.8259,0.324089,0.409055,0.973639
TURNOVER_SURGE_20,0.0094,0.0908,0.1037,0.3681,0.5498,3.5548,2.0071,0.000393,0.044963,0.595917
MAX_RATIO_20,0.0003,0.1376,0.0023,0.008,0.4834,0.0776,0.0267,0.938168,0.978709,0.678183
IS_LIMIT_UP_LAG1,-0.0005,0.0259,-0.0177,-0.0628,0.0247,-0.6069,-0.4591,0.544041,0.646238,0.595917
ALPHA_SHORT_REVERSAL_5,-0.0021,0.131,-0.0158,-0.056,0.4877,-0.5405,-0.2719,0.588921,0.785782,0.734894
KMID,-0.003,0.1316,-0.0231,-0.0819,0.4996,-0.7912,-0.744,0.429003,0.45704,0.450941
INTRADAY_CLOSE_LOC,-0.001,0.1061,-0.0094,-0.0333,0.503,-0.3213,-0.2933,0.748068,0.769353,0.795905
AMOUNT_RATIO_5_20,0.006,0.1006,0.0592,0.2102,0.5098,2.03,0.8489,0.042582,0.396095,0.932365
MAX_RATIO_30,0.0015,0.1351,0.0115,0.0407,0.4791,0.3931,0.1283,0.694342,0.897926,0.937267
KMID2,0.0018,0.1153,0.0159,0.0565,0.5072,0.5457,0.5229,0.585364,0.601143,0.927232
UPPER_SHADOW_RATIO,0.0026,0.0876,0.0301,0.107,0.5191,1.0333,0.9831,0.301676,0.325756,0.918919
MAX_RATIO_120,0.0058,0.1465,0.0395,0.1403,0.4911,1.3553,0.3959,0.175588,0.692215,0.913285
