factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
MAX_RATIO_30,20D,-0.0021,-0.1585,0.874056,0.937267
MIN_RATIO_30,1D,0.0151,3.776,0.000167,0.001408
MIN_RATIO_30,3D,0.0172,3.0391,0.002425,0.01372
MIN_RATIO_30,5D,0.0162,2.3433,0.019276,0.063759
MIN_RATIO_30,10D,0.0208,2.2081,0.027429,0.082479
MIN_RATIO_30,20D,0.032,2.3483,0.019023,0.063759
MA_RATIO_30,1D,0.0127,2.8466,0.004494,0.021665
MA_RATIO_30,3D,0.0132,2.1031,0.035667,0.094439
MA_RATIO_30,5D,0.0136,1.7587,0.078889,0.157778
MA_RATIO_30,10D,0.0155,1.5497,0.121471,0.22039
MA_RATIO_30,20D,0.024,1.855,0.06385,0.133434
ROC60,1D,-0.0057,-1.174,0.240614,0.376233
ROC60,3D,-0.0125,-1.7982,0.072396,0.146841
ROC60,5D,-0.017,-1.999,0.045832,0.108284
ROC60,10D,-0.0232,-2.0365,0.041925,0.103205
ROC60,20D,-0.0318,-2.1324,0.033183,0.091474
MAX_RATIO_60,1D,0.0015,0.3119,0.755203,0.843473
MAX_RATIO_60,3D,0.0003,0.0499,0.960193,0.999717
MAX_RATIO_60,5D,0.0029,0.347,0.72867,0.822383
MAX_RATIO_60,10D,0.0053,0.4787,0.632258,0.751025
MAX_RATIO_60,20D,0.0069,0.5005,0.616822,0.742951
MIN_RATIO_60,1D,0.0147,3.3653,0.000789,0.005301
MIN_RATIO_60,3D,0.0208,3.394,0.000711,0.004931
MIN_RATIO_60,5D,0.0224,2.9872,0.002873,0.015019
MIN_RATIO_60,10D,0.0271,2.5623,0.010521,0.04268
MIN_RATIO_60,20D,0.0382,2.5124,0.012126,0.046975
MA_RATIO_60,1D,0.0111,2.3067,0.021239,0.067153
MA_RATIO_60,3D,0.016,2.344,0.019242,0.063759
MA_RATIO_60,5D,0.0192,2.3182,0.020608,0.066634
MA_RATIO_60,10D,0.0261,2.3945,0.016798,0.059485
MA_RATIO_60,20D,0.0379,2.5757,0.010126,0.041468
ROC120,1D,-0.0004,-0.0781,0.937777,0.985927
ROC120,3D,-0.0061,-0.8785,0.379856,0.524989
ROC120,5D,-0.0078,-0.9076,0.364279,0.511497
ROC120,10D,-0.0139,-1.1651,0.244229,0.380502
ROC120,20D,-0.0234,-1.4399,0.150148,0.25264
MAX_RATIO_120,1D,-0.0048,-0.9981,0.318424,0.46745
MAX_RATIO_120,3D,-0.0054,-0.7824,0.434148,0.583386
MAX_RATIO_120,5D,-0.0035,-0.408,0.683378,0.794196
MAX_RATIO_120,10D,-0.0012,-0.1084,0.913712,0.966538
MAX_RATIO_120,20D,-0.0033,-0.2196,0.826204,0.913285
MIN_RATIO_120,1D,0.0116,2.4747,0.013473,0.050377
MIN_RATIO_120,3D,0.0177,2.63,0.00865,0.036827
MIN_RATIO_120,5D,0.0176,2.1354,0.032936,0.091474
MIN_RATIO_120,10D,0.0204,1.7765,0.075911,0.152531
MIN_RATIO_120,20D,0.0308,1.9169,0.055493,0.122629
MA_RATIO_120,1D,0.006,1.1827,0.237147,0.373528
MA_RATIO_120,3D,0.0122,1.6891,0.091468,0.175586
MA_RATIO_120,5D,0.0149,1.6929,0.090742,0.174973
MA_RATIO_120,10D,0.0223,1.8612,0.062957,0.133434
MA_RATIO_120,20D,0.0328,2.05,0.040582,0.102151
ROC250,1D,0.0049,1.0306,0.302919,0.450941
ROC250,3D,0.0039,0.5556,0.578591,0.708815
ROC250,5D,0.006,0.6491,0.516385,0.654522
ROC250,10D,0.0051,0.3756,0.70725,0.813001
ROC250,20D,0.0034,0.1814,0.856072,0.927232
MAX_RATIO_250,1D,-0.0087,-1.8544,0.063924,0.133434
MAX_RATIO_250,3D,-0.009,-1.3108,0.190172,0.312114
MAX_RATIO_250,5D,-0.0083,-0.9487,0.342978,0.493246
MAX_RATIO_250,10D,-0.0062,-0.5121,0.608655,0.739327
MAX_RATIO_250,20D,-0.0082,-0.5044,0.614082,0.742521
MIN_RATIO_250,1D,0.0101,2.1233,0.033932,0.092935
MIN_RATIO_250,3D,0.0152,2.1795,0.029489,0.084911
MIN_RATIO_250,5D,0.0144,1.6128,0.107058,0.199285
MIN_RATIO_250,10D,0.0166,1.2813,0.200342,0.322648
MIN_RATIO_250,20D,0.023,1.2549,0.209759,0.335302
MA_RATIO_250,1D,0.0009,0.1699,0.865146,0.932365
MA_RATIO_250,3D,0.0058,0.7871,0.431391,0.581499
MA_RATIO_250,5D,0.0063,0.6845,0.493779,0.639533
MA_RATIO_250,10D,0.0105,0.8122,0.416832,0.565419
MA_RATIO_250,20D,0.0153,0.8599,0.390032,0.535827
STD5,1D,-0.0166,-4.2759,2.1e-05,0.000266
STD5,3D,-0.0234,-4.1354,3.8e-05,0.000419
STD5,5D,-0.0226,-3.1322,0.001777,0.010916
STD5,10D,-0.0203,-2.1323,0.033186,0.091474
STD5,20D,-0.0274,-2.0357,0.042002,0.103205
STD10,1D,-0.0208,-4.6576,4e-06,0.000115
STD10,3D,-0.0278,-4.3048,1.8e-05,0.000242
STD10,5D,-0.025,-3.0654,0.002223,0.012745
STD10,10D,-0.0245,-2.1811,0.02937,0.084911
STD10,20D,-0.0341,-2.1016,0.035799,0.094439
STD20,1D,-0.0223,-4.5779,5e-06,0.000134
STD20,3D,-0.0303,-4.3199,1.7e-05,0.000242
STD20,5D,-0.028,-3.1215,0.001843,0.011007
STD20,10D,-0.0276,-2.1823,0.029283,0.084911
STD20,20D,-0.039,-2.1815,0.029342,0.084911
STD30,1D,-0.023,-4.5557,6e-06,0.000136
STD30,3D,-0.0312,-4.2766,2e-05,0.000261
STD30,5D,-0.0294,-3.1418,0.001721,0.010725
STD30,10D,-0.0292,-2.1879,0.028873,0.084911
STD30,20D,-0.0443,-2.3558,0.018646,0.063633
STD60,1D,-0.0236,-4.4522,9e-06,0.000194
STD60,3D,-0.0323,-4.1935,3e-05,0.000358
STD60,5D,-0.031,-3.1215,0.001842,0.011007
STD60,10D,-0.0321,-2.2546,0.024341,0.075845
STD60,20D,-0.0441,-2.2293,0.025986,0.079814
STD120,1D,-0.0236,-4.3405,1.5e-05,0.000242
STD120,3D,-0.0315,-3.9582,8e-05,0.000782
STD120,5D,-0.0302,-2.933,0.003422,0.01711
STD120,10D,-0.0311,-2.0954,0.036346,0.095297
STD120,20D,-0.0404,-1.9381,0.052846,0.118973
STD250,1D,-0.0239,-4.3252,1.7e-05,0.000242
STD250,3D,-0.0314,-3.834,0.000133,0.001217
STD250,5D,-0.0304,-2.825,0.004807,0.022218
STD250,10D,-0.0312,-2.0154,0.044088,0.106505
STD250,20D,-0.0404,-1.8334,0.066995,0.138499
ATR_RATIO_5,1D,-0.0222,-4.9136,1e-06,4.3e-05
ATR_RATIO_5,3D,-0.0292,-4.3845,1.3e-05,0.000224
ATR_RATIO_5,5D,-0.0264,-3.0979,0.001995,0.011751
