factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
ATR_RATIO_20,REJECT,REJECT,0.6046,-1,20D,-0.0408,0.18,-0.2268,-0.8052,-7.7462,-2.1525,0.0,0.031563,0.095747,0.4082,0.0132,0.2088,0.0634,0.2251,0.5274,2.1655,0.5915,0.03055,0.554322,0.095747,0.1,0.3993,0.001495,0.001422,1.6921,-0.5184,0.5502,0.7081,1.1292,0.0487,0.127,0.4371,1.0,0.5243,0.8333,VALID,-0.0366,0.0004,-0.0635,0.9988,0.0012,2
WVMA_20,USEFUL,USEFUL,0.5991,-1,20D,-0.0348,0.1466,-0.2377,-0.8439,-8.1178,-2.2871,0.0,0.022371,0.073457,0.4014,0.0118,0.1734,0.0682,0.2421,0.5343,2.3289,0.6463,0.020037,0.518229,0.073457,0.3,0.4373,0.001683,0.001541,1.7125,-0.588,0.5536,0.7019,1.0548,0.0941,0.1977,0.7227,1.0,0.5471,0.8333,VALID,-0.0283,0.0006,-0.0556,0.9977,0.0023,20
EFFICIENCY_RATIO_10,WEAK,WEAK,0.5895,1,20D,0.0172,0.0876,0.1959,0.6955,6.6906,3.4762,0.0,0.000527,0.003855,0.5609,0.02,0.0865,0.2315,0.8219,0.5909,7.9065,4.0622,0.0,5.2e-05,0.003855,0.9,0.6899,0.002745,0.002238,2.01,-0.6479,0.5435,0.6908,1.1172,0.3378,0.7392,2.72,1.0,0.6689,0.8333,VALID,0.0153,0.0289,0.0121,0.9994,0.0006,0
STD20,REJECT,REJECT,0.5698,-1,20D,-0.0387,0.1721,-0.2249,-0.7983,-7.6795,-2.1338,0.0,0.033071,0.098218,0.4057,0.0123,0.1994,0.0615,0.2182,0.5154,2.0994,0.5742,0.035992,0.565944,0.098218,0.1,0.4533,0.001692,0.00158,1.8048,-0.5719,0.562,0.7251,1.2596,0.0745,0.1667,0.568,1.0,0.5372,0.8333,VALID,-0.0323,0.0096,-0.066,0.9988,0.0012,2
STD120,REJECT,REJECT,0.5392,-1,20D,-0.0406,0.1973,-0.2058,-0.7306,-7.0281,-1.9196,0.0,0.055149,0.130094,0.4048,0.0102,0.2144,0.0475,0.1686,0.5137,1.6221,0.4386,0.105053,0.661016,0.130094,0.1,0.4989,0.001728,0.0017,1.9742,-0.5587,0.5696,0.7938,1.0739,0.0188,0.2008,0.6418,1.0,0.5094,0.8333,VALID,-0.0395,0.0125,-0.068,0.9918,0.0082,17
ROC60,REJECT,REJECT,0.5125,-1,20D,-0.0327,0.1521,-0.2149,-0.7627,-7.3372,-2.178,0.0,0.029604,0.092806,0.4434,-0.0068,0.1709,-0.04,-0.1421,0.518,-1.3671,-0.3911,0.171857,0.695788,0.092806,0.0,0.825,0.002726,0.002567,2.1475,-0.6524,0.5342,0.8721,1.2203,0.1056,0.6536,1.8173,1.0,0.5528,1.0,VALID,0.0158,-0.0715,-0.0342,0.9962,0.0038,12
MIN_RATIO_120,USEFUL,USEFUL,0.4922,1,20D,0.0317,0.1599,0.1983,0.704,6.7726,1.942,0.0,0.052384,0.126943,0.5652,-0.01,0.1899,-0.0525,-0.1865,0.464,-1.794,-0.4936,0.073068,0.62165,0.126943,-0.6,0.3604,0.001485,0.001347,1.3421,-0.5534,0.5342,0.4838,0.7223,0.0915,0.175,0.6149,1.0,0.5457,0.8333,VALID,0.0028,0.0369,0.0417,0.9918,0.0082,15
ATR_RATIO_60,REJECT,REJECT,0.4726,-1,20D,-0.0374,0.1855,-0.2015,-0.7153,-6.8809,-1.9239,0.0,0.054613,0.129953,0.4005,0.0118,0.2012,0.0586,0.2079,0.5154,1.9998,0.551,0.045759,0.581724,0.129953,0.1,0.4374,0.001576,0.00153,1.8057,-0.5789,0.5595,0.8214,1.5575,0.0306,0.1704,0.5804,1.0,0.5153,0.8333,VALID,-0.0466,0.0155,-0.0602,0.9962,0.0038,17
STD5,REJECT,REJECT,0.4599,-1,20D,-0.0277,0.1376,-0.2013,-0.7146,-6.8741,-2.0396,0.0,0.041614,0.109955,0.4228,0.013,0.1639,0.0796,0.2825,0.5369,2.718,0.7835,0.006665,0.43351,0.109955,0.6,0.3374,0.001648,0.001262,1.3561,-0.6316,0.5359,0.5273,1.0201,0.2568,0.135,0.5246,1.0,0.6284,0.8333,VALID,-0.025,0.0105,-0.0483,0.9997,0.0003,2
STD250,REJECT,REJECT,0.4358,-1,20D,-0.0402,0.2056,-0.1957,-0.6947,-6.6832,-1.7982,0.0,0.072408,0.158072,0.4005,0.0084,0.2164,0.0388,0.1376,0.5172,1.3234,0.3533,0.185962,0.723944,0.158072,0.1,0.5805,0.001935,0.001917,2.1543,-0.5449,0.5755,0.9649,1.7134,0.0121,0.2822,0.8674,1.0,0.5061,0.8333,VALID,-0.0364,0.0117,-0.0682,0.9811,0.0189,17
ATR_RATIO_5,REJECT,REJECT,0.4269,-1,20D,-0.0358,0.1631,-0.2193,-0.7785,-7.4893,-2.1084,0.0,0.035208,0.103016,0.4134,0.0157,0.1935,0.0813,0.2885,0.5446,2.7756,0.7649,0.005598,0.444505,0.103016,0.1,0.3358,0.00145,0.001243,1.436,-0.5076,0.5426,0.6665,1.3235,0.1381,0.0881,0.317,1.0,0.5691,0.8333,VALID,-0.0266,-0.0036,-0.0561,0.9997,0.0003,2
STD10,REJECT,REJECT,0.3866,-1,20D,-0.0342,0.1575,-0.2169,-0.7701,-7.4078,-2.0853,0.0,0.037258,0.105193,0.4091,0.0131,0.1853,0.0706,0.2506,0.5257,2.4104,0.6669,0.016088,0.504993,0.105193,0.1,0.3522,0.001504,0.001299,1.4459,-0.595,0.5401,0.6215,1.1054,0.1367,0.1267,0.4571,1.0,0.5683,0.8333,VALID,-0.0257,0.0074,-0.0589,0.9994,0.0006,2
MA_RATIO_120,REJECT,REJECT,0.3133,1,20D,0.0338,0.1609,0.2103,0.7465,7.1812,2.0927,0.0,0.036594,0.104938,0.5472,0.0103,0.1788,0.0574,0.2036,0.4889,1.9588,0.5515,0.050371,0.581385,0.104938,0.0,0.6759,0.002355,0.002231,1.8515,-0.628,0.5325,0.7214,0.9781,0.0831,0.5038,1.4582,1.0,0.5416,0.8333,VALID,-0.0112,0.0706,0.0349,0.9918,0.0082,12
MIN_RATIO_30,REJECT,REJECT,0.2993,1,20D,0.0314,0.1409,0.2228,0.7908,7.6077,2.2845,0.0,0.022524,0.073457,0.5678,-0.0091,0.1669,-0.0545,-0.1934,0.4811,-1.86,-0.5325,0.063135,0.594466,0.073457,0.0,0.4769,0.001959,0.001675,1.666,-0.6618,0.5392,0.5859,0.8965,0.1895,0.3079,1.1031,1.0,0.5947,0.8333,VALID,0.0032,0.0438,0.0375,0.9982,0.0018,11
WVMA_5,REJECT,REJECT,0.2969,-1,20D,-0.0249,0.1282,-0.1946,-0.6908,-6.6457,-2.0488,0.0,0.040709,0.109528,0.4177,0.0111,0.151,0.0737,0.2618,0.5257,2.5181,0.7504,0.011933,0.453148,0.109528,0.5,0.2902,0.001516,0.001121,1.1959,-0.5961,0.5241,0.492,0.9769,0.2633,0.1405,0.5585,1.0,0.6316,0.8333,VALID,-0.0238,0.0099,-0.0431,0.9995,0.0005,20
MA_RATIO_30,USEFUL,USEFUL,0.2663,1,20D,0.0234,0.1406,0.1668,0.592,5.6947,1.8045,0.0,0.071407,0.157574,0.5506,-0.0015,0.1578,-0.0098,-0.0349,0.4949,-0.3353,-0.1026,0.737482,0.9183,0.157574,-0.1,0.8253,0.002815,0.002573,2.1258,-0.7533,0.5308,0.9021,1.3303,0.1615,0.6639,1.8954,1.0,0.5808,1.0,VALID,-0.009,0.0689,0.0146,0.9982,0.0018,6
WVMA_10,REJECT,REJECT,0.2622,-1,20D,-0.0298,0.1377,-0.2165,-0.7685,-7.3932,-2.162,0.0,0.030823,0.095747,0.4134,0.012,0.162,0.0738,0.2619,0.5334,2.5193,0.7184,0.011892,0.47267,0.095747,0.1,0.3183,0.001437,0.001199,1.3292,-0.5997,0.5384,0.4494,0.7108,0.1588,0.1038,0.4069,1.0,0.5794,0.8333,VALID,-0.0206,0.0018,-0.0499,0.9989,0.0011,2
KLEN,REJECT,REJECT,0.2562,-1,20D,-0.0271,0.1366,-0.1985,-0.7045,-6.7771,-2.0644,0.0,0.039203,0.109051,0.4288,0.0134,0.1628,0.0821,0.2913,0.5583,2.8025,0.8212,0.005156,0.411698,0.109051,0.6,0.1012,0.0012,0.000479,0.5437,-0.5873,0.4979,0.3724,1.0069,0.4808,0.0681,0.2777,1.0,0.7404,0.8333,VALID,-0.0223,-0.0011,-0.0424,1.0,0.0,2
CORR_PV_5,WEAK,WEAK,0.2502,-1,20D,-0.0186,0.0914,-0.2037,-0.7232,-6.9572,-2.6397,0.0,0.008409,0.037321,0.422,-0.0094,0.0842,-0.111,-0.3941,0.4554,-3.7908,-1.5202,0.000158,0.128729,0.037321,-0.2,0.4083,0.002117,0.001495,1.432,-0.6831,0.5325,0.4661,0.9184,0.4149,0.4007,1.6971,1.0,0.7075,1.0,VALID,-0.0127,-0.0158,-0.0227,1.0,0.0,0
VSTD_10,WEAK,WEAK,0.2463,-1,20D,-0.0134,0.0739,-0.1817,-0.6451,-6.2054,-2.4779,0.0,0.013356,0.04977,0.4057,-0.0079,0.0768,-0.1034,-0.3672,0.4365,-3.5321,-1.3337,0.000428,0.182549,0.04977,-0.7,0.6239,0.002423,0.002071,1.9176,-0.6971,0.5494,0.636,0.869,0.235,0.539,2.179,1.0,0.6175,0.6667,VALID,-0.0131,-0.0133,-0.0136,0.9995,0.0005,0
ROC120,REJECT,REJECT,0.2331,-1,20D,-0.0258,0.1608,-0.1604,-0.5695,-5.4781,-1.5717,0.0,0.116301,0.214668,0.4846,-0.0107,0.1765,-0.0604,-0.2145,0.524,-2.0638,-0.5799,0.039256,0.562067,0.214668,-0.3,0.7454,0.002498,0.002382,2.0332,-0.559,0.5376,0.8402,1.2046,0.0769,0.5311,1.5819,1.0,0.5385,0.8333,VALID,-0.0043,-0.0397,-0.0282,0.9918,0.0082,14
ROC20,USEFUL,USEFUL,0.1896,-1,20D,-0.0227,0.1414,-0.1608,-0.5707,-5.4896,-1.7423,0.0,0.081715,0.170567,0.4563,0.002,0.1572,0.0129,0.0459,0.5086,0.4416,0.1347,0.658836,0.892838,0.170567,0.0,0.8365,0.002855,0.002595,2.1563,-0.7668,0.5359,0.9171,1.3649,0.1732,0.6648,1.9195,1.0,0.5866,1.0,VALID,0.0089,-0.0668,-0.0142,0.9988,0.0012,8
MIN_RATIO_20,USEFUL,USEFUL,0.1127,1,20D,0.0237,0.132,0.1794,0.6368,6.1259,1.9239,0.0,0.054612,0.129953,0.5575,-0.0116,0.1551,-0.0747,-0.2651,0.4734,-2.5501,-0.753,0.010896,0.451577,0.129953,-0.2,0.4064,0.001829,0.001483,1.4596,-0.668,0.5333,0.5386,0.8898,0.231,0.2689,1.0066,1.0,0.6155,0.8333,VALID,0.0008,0.0359,0.0275,0.9989,0.0011,7
MA_RATIO_20,REJECT,REJECT,0.0666,1,20D,0.0153,0.1384,0.1108,0.3934,3.7844,1.2749,0.000162,0.202609,0.333461,0.5257,-0.0044,0.1533,-0.0286,-0.1015,0.4906,-0.9763,-0.3197,0.329105,0.74928,0.333461,-0.3,0.7758,0.002758,0.00246,2.0516,-0.7397,0.5409,0.8677,1.3329,0.1982,0.6568,1.9553,1.0,0.5991,1.0,VALID,-0.0102,0.0575,0.0051,0.9989,0.0011,6
ROC_STD_60,REJECT,REJECT,-0.0215,-1,20D,-0.0218,0.1471,-0.1481,-0.5258,-5.0582,-1.4973,0.0,0.13458,0.241632,0.4631,0.0024,0.1563,0.0151,0.0535,0.5472,0.5148,0.148,0.606789,0.882376,0.241632,0.1,0.5199,0.001973,0.001809,1.6654,-0.67,0.5333,0.576,0.7804,0.1091,0.3792,1.2913,1.0,0.5546,0.8333,VALID,0.024,-0.0548,-0.0251,0.9962,0.0038,12
MIN_RATIO_250,REJECT,REJECT,-0.0375,1,20D,0.0247,0.1762,0.1403,0.498,4.7902,1.3298,2e-06,0.183849,0.307713,0.5283,-0.0176,0.2017,-0.0871,-0.3091,0.4262,-2.9732,-0.808,0.003008,0.419268,0.307713,-0.4,0.2934,0.00124,0.001151,1.1263,-0.6055,0.5316,0.2992,0.308,0.0593,0.1172,0.4226,1.0,0.5297,0.8333,VALID,0.0244,0.0151,0.0297,0.9812,0.0188,15
VMA_RATIO_10,REJECT,REJECT,-0.0683,-1,20D,-0.0073,0.0883,-0.0828,-0.2939,-2.8276,-2.0828,0.004771,0.03749,0.105193,0.4666,-0.0093,0.0909,-0.1027,-0.3645,0.4451,-3.5063,-2.6252,0.000472,0.008774,0.105193,-0.7,0.5718,0.002834,0.001953,1.7373,-0.7289,0.519,0.6523,1.3448,0.5873,0.8508,2.9701,1.0,0.7936,1.0,VALID,-0.0042,-0.007,-0.0088,0.9995,0.0005,19
