factor_name,overall_rank_ic,sign_consistency,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
VMA_RATIO_5,-0.0029,0.8,VALID,-0.0051,0.0004,-0.0036,-0.0037,-0.0006,-0.0077,-0.0047,0.0004,-0.0004
VSTD_5,-0.0043,0.6,VALID,-0.0028,0.0018,-0.0081,0.0057,0.0082,0.0007,-0.0089,-0.0134,-0.0158
VMA_RATIO_10,-0.0021,0.6,VALID,-0.0061,-0.0011,-0.0008,-0.0052,-0.0013,-0.0113,-0.0004,0.0022,0.0034
VSTD_10,-0.0061,0.8,VALID,0.0007,-0.0015,-0.0115,0.0174,0.0064,-0.0014,-0.0133,-0.0129,-0.0214
VMA_RATIO_20,-0.0038,0.4,VALID,-0.014,0.0001,-0.0012,-0.0273,-0.0048,-0.0141,0.0022,0.0023,0.0025
VSTD_20,-0.0043,0.8,VALID,0.0026,-0.0013,-0.0089,0.0348,0.0071,-0.0031,-0.0115,-0.0111,-0.0145
VMA_RATIO_60,-0.0024,0.6,VALID,-0.011,-0.0018,0.0013,-0.0217,-0.0051,-0.0202,0.0086,0.0087,-0.005
VSTD_60,-0.0086,0.8,VALID,-0.011,-0.0019,-0.0113,0.0226,-0.0004,-0.0009,0.0046,-0.0235,-0.0354
CORR_PV_5,-0.0095,1.0,VALID,-0.0001,-0.0102,-0.0133,-0.0202,-0.0101,-0.003,-0.0082,-0.0051,-0.0255
WVMA_5,-0.0122,0.8,VALID,-0.0044,0.0066,-0.0253,-0.0314,0.0103,-0.0247,-0.0177,-0.0094,-0.0177
