factor_name,best_horizon,half_life_days,1D,3D,5D,10D,20D
VMA_RATIO_5,1D,,-0.0039,-0.0019,-0.0009,-0.0017,-0.0029
VSTD_5,5D,,-0.0039,-0.0044,-0.0068,-0.0051,-0.0043
VMA_RATIO_10,10D,,-0.0014,-0.0009,-0.0001,-0.0034,-0.0021
VSTD_10,3D,,-0.007,-0.0092,-0.0084,-0.0072,-0.0061
VMA_RATIO_20,10D,,-0.0002,-0.0008,-0.0008,-0.0042,-0.0038
VSTD_20,5D,,-0.0057,-0.0075,-0.0081,-0.0073,-0.0043
VMA_RATIO_60,10D,,0.0025,0.0019,-0.0001,-0.003,-0.0024
VSTD_60,20D,,-0.0043,-0.0077,-0.0084,-0.008,-0.0086
CORR_PV_5,20D,,-0.005,-0.0081,-0.0088,-0.0085,-0.0095
WVMA_5,3D,,-0.0109,-0.0144,-0.014,-0.0096,-0.0122
