factor_name,raw_rank_ic,orthogonalized_rank_ic,delta_rank_ic,successful_cross_sections,failed_cross_sections,status
VMA_RATIO_5,-0.0029,-0.0028,0.0001,1128,59,REAL_CALCULATED
VSTD_5,-0.0043,-0.0045,-0.0002,1128,59,REAL_CALCULATED
VMA_RATIO_10,-0.0021,-0.0027,-0.0006,1128,59,REAL_CALCULATED
VSTD_10,-0.0061,-0.0044,0.0017,1128,59,REAL_CALCULATED
VMA_RATIO_20,-0.0038,-0.0048,-0.001,1128,59,REAL_CALCULATED
VSTD_20,-0.0043,-0.0008,0.0035,1128,59,REAL_CALCULATED
VMA_RATIO_60,-0.0024,-0.0016,0.0008,1128,59,REAL_CALCULATED
VSTD_60,-0.0086,-0.0094,-0.0008,1128,59,REAL_CALCULATED
CORR_PV_5,-0.0095,-0.0085,0.001,1128,59,REAL_CALCULATED
WVMA_5,-0.0122,-0.0123,-0.0001,1128,59,REAL_CALCULATED
