factor_name,raw_rank_ic,neutralized_rank_ic,delta_rank_ic,total_dates,successful_dates,failed_dates,mean_cross_section_size,min_cross_section_size,max_cross_section_size,status
VMA_RATIO_5,-0.0029,-0.0027,0.0001,1187,1162,25,294.2,278,300,REAL_CALCULATED
VSTD_5,-0.0043,-0.0041,0.0002,1187,1162,25,294.2,278,300,REAL_CALCULATED
VMA_RATIO_10,-0.0021,-0.0024,-0.0003,1187,1157,30,294.2,278,300,REAL_CALCULATED
VSTD_10,-0.0061,-0.0057,0.0004,1187,1157,30,294.2,278,300,REAL_CALCULATED
VMA_RATIO_20,-0.0038,-0.0038,-0.0001,1187,1147,40,294.1,278,300,REAL_CALCULATED
VSTD_20,-0.0043,-0.004,0.0003,1187,1147,40,294.1,278,300,REAL_CALCULATED
VMA_RATIO_60,-0.0024,-0.0025,-0.0,1187,1107,80,293.9,274,300,REAL_CALCULATED
VSTD_60,-0.0086,-0.0089,-0.0003,1187,1107,80,293.9,274,300,REAL_CALCULATED
CORR_PV_5,-0.0095,-0.0099,-0.0004,1187,1166,21,294.2,278,300,REAL_CALCULATED
WVMA_5,-0.0122,-0.0125,-0.0003,1187,1158,29,294.2,278,300,REAL_CALCULATED
