factor_name,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,positive_rank_ic_ratio,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,recommended_direction
WVMA_5,-0.0122,0.0746,-0.1636,-0.5806,0.424,-5.5664,-1.8968,0.0,0.058101,0.111733,-1
VSTD_60,-0.0086,0.0602,-0.1433,-0.5086,0.4417,-4.7669,-1.3162,2e-06,0.188389,0.285153,-1
CORR_PV_5,-0.0095,0.0607,-0.1571,-0.5575,0.4322,-5.3633,-2.3205,0.0,0.020488,0.053916,-1
VSTD_10,-0.0061,0.0554,-0.1104,-0.392,0.4624,-3.7561,-1.4576,0.000181,0.145211,0.250364,-1
VSTD_20,-0.0043,0.0541,-0.0789,-0.2802,0.4507,-2.6734,-0.855,0.007616,0.392742,0.503515,-1
VSTD_5,-0.0043,0.054,-0.0804,-0.2853,0.4501,-2.7402,-1.4137,0.006234,0.157731,0.254405,-1
VMA_RATIO_5,-0.0029,0.0575,-0.0499,-0.1772,0.4742,-1.7021,-1.8185,0.089002,0.06925,0.123661,-1
VMA_RATIO_60,-0.0024,0.0581,-0.0416,-0.1478,0.4851,-1.3851,-0.5714,0.16631,0.567866,0.660309,-1
VMA_RATIO_20,-0.0038,0.058,-0.0653,-0.2317,0.4586,-2.2108,-1.1698,0.027245,0.242325,0.346179,-1
VMA_RATIO_10,-0.0021,0.0585,-0.0359,-0.1276,0.4849,-1.2228,-0.9263,0.221662,0.354485,0.472055,-1
