factor_name,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value
WVMA_5,0.0093,0.0872,0.106,0.3764,0.5579,3.6087,1.1539,0.000321,0.248761,0.111733
VSTD_60,-0.008,0.0687,-0.1157,-0.4108,0.4697,-3.8503,-1.0182,0.000125,0.308828,0.285153
CORR_PV_5,-0.0033,0.0575,-0.058,-0.2058,0.4597,-1.9797,-0.9047,0.047974,0.365822,0.053916
VSTD_10,-0.0011,0.058,-0.0195,-0.0691,0.4806,-0.6624,-0.2459,0.507845,0.805782,0.250364
VSTD_20,0.0027,0.0608,0.0443,0.1574,0.5126,1.5018,0.468,0.133435,0.639879,0.503515
VSTD_5,-0.0015,0.0565,-0.0271,-0.0962,0.4699,-0.9237,-0.4514,0.355846,0.651814,0.254405
VMA_RATIO_5,-0.0035,0.0601,-0.0575,-0.204,0.4768,-1.9591,-2.2364,0.050336,0.025515,0.123661
VMA_RATIO_60,-0.0072,0.0614,-0.1172,-0.4161,0.4472,-3.8998,-1.5808,0.000102,0.114213,0.660309
VMA_RATIO_20,-0.005,0.06,-0.0824,-0.2926,0.469,-2.7922,-1.4864,0.005322,0.13746,0.346179
VMA_RATIO_10,-0.0037,0.061,-0.0608,-0.2157,0.4702,-2.0671,-1.5644,0.038944,0.118004,0.472055
