factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
WVMA_5,WEAK,WEAK,0.9447,-1,3D,-0.0122,0.0746,-0.1636,-0.5806,-5.5664,-1.8968,0.0,0.058101,0.111733,0.424,0.0093,0.0872,0.106,0.3764,0.5579,3.6087,1.1539,0.000321,0.248761,0.111733,0.3,0.4149,0.001943,0.001517,1.4329,-0.6713,0.5183,0.4828,0.8477,0.2841,0.3187,1.4228,1.0,0.642,0.8,VALID,-0.0044,0.0066,-0.0253,0.9931,0.0069,0
VSTD_60,REJECT,REJECT,0.9426,-1,20D,-0.0086,0.0602,-0.1433,-0.5086,-4.7669,-1.3162,2e-06,0.188389,0.285153,0.4417,-0.008,0.0687,-0.1157,-0.4108,0.4697,-3.8503,-1.0182,0.000125,0.308828,0.285153,-0.7,0.5504,0.001972,0.001883,1.7649,-0.6595,0.5577,0.6575,0.906,0.0591,0.4447,2.1441,1.0,0.5296,0.8,VALID,-0.011,-0.0019,-0.0113,0.9493,0.0507,0
CORR_PV_5,REJECT,REJECT,0.8764,-1,20D,-0.0095,0.0607,-0.1571,-0.5575,-5.3633,-2.3205,0.0,0.020488,0.053916,0.4322,-0.0033,0.0575,-0.058,-0.2058,0.4597,-1.9797,-0.9047,0.047974,0.365822,0.053916,0.3,0.4324,0.002192,0.001556,1.5242,-0.6755,0.5368,0.5125,1.0071,0.4236,0.5236,2.3539,1.0,0.7118,1.0,VALID,-0.0001,-0.0102,-0.0133,0.9999,0.0001,0
VSTD_10,REJECT,REJECT,0.4975,-1,3D,-0.0061,0.0554,-0.1104,-0.392,-3.7561,-1.4576,0.000181,0.145211,0.250364,0.4624,-0.0011,0.058,-0.0195,-0.0691,0.4806,-0.6624,-0.2459,0.507845,0.805782,0.250364,-0.3,0.7299,0.002671,0.002316,2.1915,-0.6519,0.5298,0.797,1.194,0.2369,0.6734,2.8988,1.0,0.6184,0.8,VALID,0.0007,-0.0015,-0.0115,0.9923,0.0077,0
VSTD_20,REJECT,REJECT,-0.1439,-1,5D,-0.0043,0.0541,-0.0789,-0.2802,-2.6734,-0.855,0.007616,0.392742,0.503515,0.4507,0.0027,0.0608,0.0443,0.1574,0.5126,1.5018,0.468,0.133435,0.639879,0.503515,-0.1,0.527,0.002034,0.001822,1.7131,-0.7122,0.542,0.532,0.7329,0.1418,0.4433,2.0627,1.0,0.5709,0.8,VALID,0.0026,-0.0013,-0.0089,0.9837,0.0163,0
VSTD_5,REJECT,REJECT,-0.2254,-1,5D,-0.0043,0.054,-0.0804,-0.2853,-2.7402,-1.4137,0.006234,0.157731,0.254405,0.4501,-0.0015,0.0565,-0.0271,-0.0962,0.4699,-0.9237,-0.4514,0.355846,0.651814,0.254405,-0.3,0.4805,0.002281,0.001698,1.6019,-0.6335,0.5275,0.5035,0.878,0.3887,0.5303,2.3988,1.0,0.6943,0.6,VALID,-0.0028,0.0018,-0.0081,0.9966,0.0034,0
VMA_RATIO_5,REJECT,REJECT,-0.54,-1,1D,-0.0029,0.0575,-0.0499,-0.1772,-1.7021,-1.8185,0.089002,0.06925,0.123661,0.4742,-0.0035,0.0601,-0.0575,-0.204,0.4768,-1.9591,-2.2364,0.050336,0.025515,0.123661,-0.1,0.4769,0.002689,0.001691,1.5799,-0.6988,0.5114,0.5694,1.3087,0.6653,0.7669,3.1191,1.0,0.8326,0.8,VALID,-0.0051,0.0004,-0.0036,0.9966,0.0034,0
VMA_RATIO_60,REJECT,REJECT,-0.5994,-1,10D,-0.0024,0.0581,-0.0416,-0.1478,-1.3851,-0.5714,0.16631,0.567866,0.660309,0.4851,-0.0072,0.0614,-0.1172,-0.4161,0.4472,-3.8998,-1.5808,0.000102,0.114213,0.660309,-0.3,0.621,0.002774,0.002074,1.8532,-0.6621,0.5471,0.6843,1.2649,0.4664,0.8328,3.2112,1.0,0.7332,0.6,VALID,-0.011,-0.0018,0.0013,0.9493,0.0507,0
VMA_RATIO_20,REJECT,REJECT,-0.9286,-1,10D,-0.0038,0.058,-0.0653,-0.2317,-2.2108,-1.1698,0.027245,0.242325,0.346179,0.4586,-0.005,0.06,-0.0824,-0.2926,0.469,-2.7922,-1.4864,0.005322,0.13746,0.346179,-0.1,0.4046,0.002293,0.001493,1.39,-0.7579,0.5232,0.4192,0.8894,0.5333,0.6462,2.7705,1.0,0.7666,0.4,VALID,-0.014,0.0001,-0.0012,0.9837,0.0163,1
VMA_RATIO_10,REJECT,REJECT,-1.024,-1,10D,-0.0021,0.0585,-0.0359,-0.1276,-1.2228,-0.9263,0.221662,0.354485,0.472055,0.4849,-0.0037,0.061,-0.0608,-0.2157,0.4702,-2.0671,-1.5644,0.038944,0.118004,0.472055,-0.1,0.395,0.002348,0.001465,1.3643,-0.7191,0.5145,0.4563,1.0419,0.5886,0.6261,2.6955,1.0,0.7943,0.6,VALID,-0.0061,-0.0011,-0.0008,0.9923,0.0077,1
