factor_name,monotonicity_score,Q1,Q2,Q3,Q4,Q5
VMA_RATIO_5,-0.1,0.012277,0.009732,0.008042,0.010309,0.011061
VSTD_5,-0.3,0.011923,0.010476,0.008542,0.009612,0.010862
VMA_RATIO_10,-0.1,0.011376,0.010417,0.00793,0.010766,0.01082
VSTD_10,-0.3,0.012133,0.010208,0.008041,0.009949,0.010982
VMA_RATIO_20,-0.1,0.01177,0.010415,0.007678,0.010428,0.010792
VSTD_20,-0.1,0.010542,0.011035,0.009009,0.009474,0.011008
VMA_RATIO_60,-0.3,0.013074,0.010005,0.007673,0.009426,0.010424
VSTD_60,-0.7,0.010764,0.010231,0.009178,0.010223,0.010174
CORR_PV_5,0.3,0.010969,0.010423,0.007891,0.010519,0.011607
WVMA_5,0.3,0.010306,0.009471,0.007903,0.009771,0.013783
