factor_name,abs_rank_ic,rank_ic,rank_ic_ir,monotonicity,sign_stability,net_sharpe,turnover,missing_ratio,coverage_ratio,is_redundant,recommended_direction,selection_score
WVMA_5,0.0122,-0.0122,0.5806,0.3,0.8,1.4329,0.2841,0.0069,0.9931,0.0,-1,0.9447
VSTD_60,0.0086,-0.0086,0.5086,0.7,0.8,1.7649,0.0591,0.0507,0.9493,0.0,-1,0.9426
CORR_PV_5,0.0095,-0.0095,0.5575,0.3,1.0,1.5242,0.4236,0.0001,0.9999,0.0,-1,0.8764
VSTD_10,0.0061,-0.0061,0.392,0.3,0.8,2.1915,0.2369,0.0077,0.9923,0.0,-1,0.4975
VSTD_20,0.0043,-0.0043,0.2802,0.1,0.8,1.7131,0.1418,0.0163,0.9837,0.0,-1,-0.1439
VSTD_5,0.0043,-0.0043,0.2853,0.3,0.6,1.6019,0.3887,0.0034,0.9966,0.0,-1,-0.2254
VMA_RATIO_5,0.0029,-0.0029,0.1772,0.1,0.8,1.5799,0.6653,0.0034,0.9966,0.0,-1,-0.54
VMA_RATIO_60,0.0024,-0.0024,0.1478,0.3,0.6,1.8532,0.4664,0.0507,0.9493,0.0,-1,-0.5994
VMA_RATIO_20,0.0038,-0.0038,0.2317,0.1,0.4,1.39,0.5333,0.0163,0.9837,1.0,-1,-0.9286
VMA_RATIO_10,0.0021,-0.0021,0.1276,0.1,0.6,1.3643,0.5886,0.0077,0.9923,1.0,-1,-1.024
