factor_name,raw_rank_ic,neutralized_rank_ic,delta_rank_ic,total_dates,successful_dates,failed_dates,mean_cross_section_size,min_cross_section_size,max_cross_section_size,status
MIN_RATIO_30,0.0133,0.0136,0.0003,1187,1137,50,294.1,277,300,REAL_CALCULATED
MA_RATIO_30,0.0118,0.012,0.0002,1187,1137,50,294.1,277,300,REAL_CALCULATED
ROC60,-0.0261,-0.0259,0.0002,1187,1106,81,293.9,274,300,REAL_CALCULATED
MAX_RATIO_60,0.0078,0.0083,0.0004,1187,1107,80,293.9,274,300,REAL_CALCULATED
MIN_RATIO_60,0.0173,0.0173,-0.0,1187,1107,80,293.9,274,300,REAL_CALCULATED
MA_RATIO_60,0.0195,0.0198,0.0003,1187,1107,80,293.9,274,300,REAL_CALCULATED
ROC120,-0.0199,-0.0195,0.0004,1187,1046,141,293.6,273,300,REAL_CALCULATED
MAX_RATIO_120,0.0065,0.0064,-0.0002,1187,1047,140,293.6,273,300,REAL_CALCULATED
MIN_RATIO_120,0.0138,0.0143,0.0005,1187,1047,140,293.6,273,300,REAL_CALCULATED
MA_RATIO_120,0.0228,0.0233,0.0004,1187,1047,140,293.6,273,300,REAL_CALCULATED
