factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
MIN_RATIO_30,1D,0.0096,3.652,0.000272,0.0136
MIN_RATIO_30,3D,0.0105,2.8683,0.004202,0.04202
MIN_RATIO_30,5D,0.0078,1.7524,0.079973,0.16268
MIN_RATIO_30,10D,0.008,1.3375,0.181331,0.274362
MIN_RATIO_30,20D,0.0133,1.5904,0.112022,0.193141
MA_RATIO_30,1D,0.0094,3.2808,0.001066,0.02665
MA_RATIO_30,3D,0.0112,2.7021,0.006992,0.057686
MA_RATIO_30,5D,0.0089,1.7445,0.08134,0.16268
MA_RATIO_30,10D,0.0089,1.3216,0.186566,0.274362
MA_RATIO_30,20D,0.0118,1.4542,0.146178,0.24363
ROC60,1D,-0.0043,-1.4132,0.157873,0.254634
ROC60,3D,-0.0097,-2.268,0.023518,0.100642
ROC60,5D,-0.0121,-2.2577,0.024154,0.100642
ROC60,10D,-0.0182,-2.4185,0.015742,0.087456
ROC60,20D,-0.0261,-2.6537,0.008076,0.057686
MAX_RATIO_60,1D,0.0019,0.6388,0.523085,0.615935
MAX_RATIO_60,3D,0.0025,0.6099,0.542023,0.615935
MAX_RATIO_60,5D,0.0025,0.4825,0.62957,0.684315
MAX_RATIO_60,10D,0.0043,0.6122,0.540513,0.615935
MAX_RATIO_60,20D,0.0078,0.8929,0.372094,0.465117
MIN_RATIO_60,1D,0.0086,3.0388,0.00243,0.030375
MIN_RATIO_60,3D,0.0122,3.1026,0.001966,0.030375
MIN_RATIO_60,5D,0.0117,2.4318,0.015181,0.087456
MIN_RATIO_60,10D,0.0121,1.7753,0.076126,0.16268
MIN_RATIO_60,20D,0.0173,1.8361,0.06661,0.16268
MA_RATIO_60,1D,0.0067,2.1753,0.029814,0.106479
MA_RATIO_60,3D,0.01,2.2788,0.022867,0.100642
MA_RATIO_60,5D,0.0101,1.866,0.062303,0.16268
MA_RATIO_60,10D,0.0132,1.7832,0.074832,0.16268
MA_RATIO_60,20D,0.0195,2.0043,0.045283,0.141509
ROC120,1D,-0.0013,-0.4212,0.67373,0.716734
ROC120,3D,-0.0058,-1.2767,0.201978,0.283399
ROC120,5D,-0.0073,-1.2577,0.208761,0.283399
ROC120,10D,-0.0117,-1.3833,0.166869,0.260733
ROC120,20D,-0.0199,-1.711,0.087386,0.16805
MAX_RATIO_120,1D,-0.0017,-0.5389,0.590083,0.655648
MAX_RATIO_120,3D,-0.0003,-0.0654,0.947878,0.947878
MAX_RATIO_120,5D,0.0006,0.0981,0.921904,0.940718
MAX_RATIO_120,10D,0.0031,0.399,0.689996,0.718746
MAX_RATIO_120,20D,0.0065,0.6513,0.514979,0.615935
MIN_RATIO_120,1D,0.0061,1.9658,0.049585,0.145838
MIN_RATIO_120,3D,0.0098,2.2095,0.027356,0.105215
MIN_RATIO_120,5D,0.0092,1.6651,0.096191,0.172916
MIN_RATIO_120,10D,0.0086,1.0839,0.278651,0.357245
MIN_RATIO_120,20D,0.0138,1.2551,0.209715,0.283399
MA_RATIO_120,1D,0.0037,1.1252,0.260755,0.343099
MA_RATIO_120,3D,0.0086,1.8499,0.064604,0.16268
MA_RATIO_120,5D,0.0097,1.6619,0.096833,0.172916
MA_RATIO_120,10D,0.0145,1.7536,0.079792,0.16268
MA_RATIO_120,20D,0.0228,2.0129,0.044382,0.141509
