factor_name,best_horizon,half_life_days,1D,3D,5D,10D,20D
MIN_RATIO_30,20D,,0.0096,0.0105,0.0078,0.008,0.0133
MA_RATIO_30,20D,,0.0094,0.0112,0.0089,0.0089,0.0118
ROC60,20D,,-0.0043,-0.0097,-0.0121,-0.0182,-0.0261
MAX_RATIO_60,20D,,0.0019,0.0025,0.0025,0.0043,0.0078
MIN_RATIO_60,20D,,0.0086,0.0122,0.0117,0.0121,0.0173
MA_RATIO_60,20D,,0.0067,0.01,0.0101,0.0132,0.0195
ROC120,20D,,-0.0013,-0.0058,-0.0073,-0.0117,-0.0199
MAX_RATIO_120,20D,,-0.0017,-0.0003,0.0006,0.0031,0.0065
MIN_RATIO_120,20D,,0.0061,0.0098,0.0092,0.0086,0.0138
MA_RATIO_120,20D,,0.0037,0.0086,0.0097,0.0145,0.0228
