factor_name,overall_rank_ic,sign_consistency,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
MIN_RATIO_30,0.0133,1.0,VALID,-0.0088,0.0227,0.0185,0.0811,0.0066,0.0044,0.0109,0.0173,0.0215
MA_RATIO_30,0.0118,0.8,VALID,-0.016,0.0422,0.0083,0.0592,0.0165,-0.0137,0.0167,0.0227,0.0085
ROC60,-0.0261,1.0,VALID,-0.0041,-0.0467,-0.0249,0.0164,-0.031,-0.0068,-0.0363,-0.0297,-0.0279
MAX_RATIO_60,0.0078,0.8,VALID,-0.0154,0.0428,-0.0007,-0.0432,0.0246,-0.0315,0.0225,0.0158,0.0091
MIN_RATIO_60,0.0173,1.0,VALID,-0.0083,0.0293,0.0227,0.0273,0.0046,0.0156,0.0221,0.0194,0.0306
MA_RATIO_60,0.0195,0.8,VALID,-0.0079,0.0487,0.0162,-0.0066,0.028,-0.0093,0.0254,0.0365,0.0159
ROC120,-0.0199,0.8,VALID,0.0013,-0.0456,-0.0176,,-0.0427,0.0104,-0.0378,-0.0241,-0.0034
MAX_RATIO_120,0.0065,0.6,VALID,-0.0236,0.0482,0.0005,,0.0403,-0.0299,0.0225,0.0102,-0.0102
MIN_RATIO_120,0.0138,1.0,VALID,-0.0085,0.0279,0.0176,,0.0129,0.0126,0.0255,0.0038,0.0139
MA_RATIO_120,0.0228,0.8,VALID,-0.0057,0.0521,0.0222,,0.0466,-0.0069,0.0312,0.0336,0.009
