factor_name,raw_rank_ic,orthogonalized_rank_ic,delta_rank_ic,successful_cross_sections,failed_cross_sections,status
MIN_RATIO_30,0.0133,0.0122,-0.0011,1067,120,REAL_CALCULATED
MA_RATIO_30,0.0118,0.002,-0.0098,1067,120,REAL_CALCULATED
ROC60,-0.0261,-0.0221,0.004,1067,120,REAL_CALCULATED
MAX_RATIO_60,0.0078,-0.0109,-0.0187,1067,120,REAL_CALCULATED
MIN_RATIO_60,0.0173,-0.0052,-0.0225,1067,120,REAL_CALCULATED
MA_RATIO_60,0.0195,0.0053,-0.0143,1067,120,REAL_CALCULATED
ROC120,-0.0199,0.0017,0.0216,1067,120,REAL_CALCULATED
MAX_RATIO_120,0.0065,-0.0068,-0.0133,1067,120,REAL_CALCULATED
MIN_RATIO_120,0.0138,-0.0111,-0.0248,1067,120,REAL_CALCULATED
MA_RATIO_120,0.0228,0.0032,-0.0197,1067,120,REAL_CALCULATED
